DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
2017-01-01,30805.665999884302,2940.80485487297,12909.274868057,712.114323352514,504.436566874371,43111.03044981,53571.950281840596
2017-01-08,30587.938438328816,2912.2181658805985,12878.832688198077,704.022553072978,507.10420991799504,43079.052678462365,53811.52532252754
2017-01-15,30370.210876773333,2883.6314768882266,12848.390508339155,695.9307827934421,509.771852961619,43047.07490711472,54051.10036321447
2017-01-22,30152.483315217847,2855.0447878958553,12817.948328480232,687.839012513906,512.439496005243,43015.097135767086,54290.67540390141
2017-01-29,29934.755753662364,2826.4580989034835,12787.506148621309,679.74724223437,515.107139048867,42983.11936441944,54530.25044458835
2017-02-05,29717.028192106878,2797.871409911112,12757.063968762386,671.6554719548341,517.774782092491,42951.14159307181,54769.82548527529
2017-02-12,29499.30063055139,2769.2847209187407,12726.621788903463,663.563701675298,520.442425136115,42919.16382172417,55009.40052596223
2017-02-19,29281.57306899591,2740.698031926369,12696.179609044539,655.471931395762,523.110068179739,42887.18605037653,55248.97556664917
2017-02-26,29063.845507440423,2712.1113429339975,12665.737429185616,647.380161116226,525.777711223363,42855.20827902889,55488.55060733611
2017-03-05,28846.117945884936,2683.5246539416257,12635.295249326693,639.28839083669,528.445354266987,42823.230507681255,55728.125648023044
2017-03-12,28628.390384329454,2654.9379649492544,12604.85306946777,631.196620557154,531.112997310611,42791.25273633361,55967.700688709985
2017-03-19,28410.662822773967,2626.351275956883,12574.410889608847,623.104850277618,533.780640354235,42759.274964985976,56207.275729396926
2017-03-26,28192.935261218485,2597.764586964511,12543.968709749925,615.013079998082,536.448283397859,42727.29719363833,56446.85077008386
2017-04-02,27975.207699663,2569.17789797214,12513.526529891002,606.921309718546,539.115926441483,42695.3194222907,56686.4258107708
2017-04-09,27700.662571050943,2594.866965873362,12555.726224530425,617.1612866605058,556.3276128982645,42957.92928558609,56317.36808296161
2017-04-16,27426.117442438892,2620.556033774584,12597.925919169847,627.4012636024655,573.5392993550461,43220.539148881486,55948.31035515243
2017-04-23,27151.572313826837,2646.245101675807,12640.12561380927,637.6412405444253,590.7509858118276,43483.14901217687,55579.252627343245
2017-04-30,26877.027185214785,2671.934169577029,12682.325308448693,647.8812174863851,607.9626722686091,43745.75887547227,55210.194899534064
2017-05-07,26602.48205660273,2697.623237478251,12724.525003088116,658.1211944283449,625.1743587253907,44008.36873876766,54841.13717172488
2017-05-14,26327.936927990675,2723.3123053794734,12766.724697727539,668.3611713703046,642.3860451821722,44270.978602063056,54472.07944391569
2017-05-21,26053.391799378624,2749.001373280696,12808.924392366964,678.6011483122644,659.5977316389537,44533.58846535844,54103.02171610651
2017-05-28,25778.84667076657,2774.6904411819182,12851.124087006387,688.8411252542242,676.8094180957353,44796.19832865384,53733.96398829732
2017-06-04,25504.301542154513,2800.3795090831404,12893.32378164581,699.0811021961839,694.0211045525168,45058.80819194923,53364.90626048813
2017-06-11,25229.75641354246,2826.0685769843626,12935.523476285232,709.3210791381437,711.2327910092984,45321.41805524463,52995.84853267895
2017-06-18,24955.211284930407,2851.7576448855853,12977.723170924655,719.5610560801035,728.4444774660799,45584.027918540014,52626.790804869765
2017-06-25,24680.666156318355,2877.4467127868074,13019.922865564078,729.8010330220633,745.6561639228614,45846.63778183541,52257.733077060584
2017-07-02,24406.1210277063,2903.1357806880296,13062.122560203501,740.041009964023,762.867850379643,46109.2476451308,51888.675349251396
2017-07-09,24289.608074737276,2909.577639119864,12802.014435682106,740.8896887689201,784.591463247742,46320.33829888426,51341.83451659581
2017-07-16,24173.095121768252,2916.019497551699,12541.90631116071,741.7383675738172,806.315076115841,46531.42895263771,50794.99368394023
2017-07-23,24056.582168799232,2922.4613559835334,12281.798186639315,742.5870463787143,828.03868898394,46742.519606391164,50248.15285128464
2017-07-30,23940.069215830208,2928.903214415368,12021.69006211792,743.4357251836113,849.7623018520391,46953.61026014462,49701.31201862906
2017-08-06,23823.556262861184,2935.3450728472026,11761.581937596524,744.2844039885084,871.485914720138,47164.70091389807,49154.471185973474
2017-08-13,23707.04330989216,2941.786931279037,11501.473813075128,745.1330827934055,893.209527588237,47375.791567651526,48607.63035331789
2017-08-20,23590.53035692314,2948.228789710872,11241.365688553731,745.9817615983025,914.9331404563361,47586.88222140498,48060.78952066231
2017-08-27,23474.017403954116,2954.670648142707,10981.257564032338,746.8304404031995,936.6567533244352,47797.97287515843,47513.94868800672
