DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
12/31/2016,21295.1680954691,4397.00223095777,9741.06047871586,601.510136609887,1187.4992531326,41300.3676819791,41634.2250394597
03/31/2017,20932.880456695,4124.48817387425,8243.88390501017,601.510136609887,1349.57373561326,35093.9465475987,43050.0501724974
06/30/2017,23591.1592604094,3639.95180501846,7967.27700989372,640.595203139795,1173.179805973,69470.4048510348,45104.4600509626
09/30/2017,21784.918929978,3143.79849105838,11741.2677065615,760.066517556925,947.342146669903,64231.6638678938,19132.6112217762
12/31/2017,23314.3562056882,3501.0727743691,13442.9649471918,783.849646205918,911.207519096031,59509.2133033377,17944.5988407531
03/31/2018,23127.4282925831,3501.0727743691,11483.1414359528,788.70240026925,911.207519096031,59509.2133033377,17511.367315391
06/30/2018,21879.8855834042,3276.42807831653,13181.2192766469,1332.21958332019,911.207519096031,64879.8705629709,20764.4668337742
09/30/2018,20416.3908661644,3276.42807831653,11310.9682108415,1255.44016628078,911.207519096031,82810.2961889689,23062.7456033235
12/31/2018,21585.952940126,3046.48042282675,14010.6989017067,1124.21322611761,911.207519096031,92263.98092087,24447.2519438492
03/31/2019,20267.7466633448,3046.48042282675,10734.9002224387,1206.14941031367,1232.6808183792,84692.2025344887,22917.4216752763
06/30/2019,21652.6550330934,3245.6393162871,10787.0647086118,1391.84881442713,1216.58206816122,84692.2025344887,23508.3150079953
09/30/2019,19934.3433569162,3280.91616124869,9398.17604644646,1196.13836992214,1216.58206816122,78031.3677839758,23409.4363236799
12/31/2019,21480.4914881254,3510.98064648611,9214.35674446598,1082.81798364928,1310.50619082494,78031.3677839758,23409.4363236799
03/31/2020,18601.5136465946,2736.88865319728,9420.66557214628,1656.22880040342,1221.56862466336,78031.3677839758,22464.7457469982
