DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
2017-10-01,10092.0372833129,1379.8861164764498,8199.14456073181,564.009663037789,227.56641388234902,58727.165045658396,7212.81915238418
2017-10-08,10070.427387689588,1377.1873556912537,8119.283788268668,570.7041091620431,228.6427687552548,58191.15102933394,7163.547377400193
2017-10-15,10048.817492066275,1374.4885949060576,8039.423015805528,577.3985552862973,229.71912362816056,57655.13701300947,7114.275602416206
2017-10-22,10027.20759644296,1371.7898341208615,7959.562243342387,584.0930014105514,230.79547850106633,57119.122996685015,7065.003827432219
2017-10-29,10005.597700819648,1369.0910733356652,7879.701470879247,590.7874475348057,231.8718333739721,56583.10898036055,7015.732052448232
2017-11-05,9983.987805196335,1366.3923125504691,7799.840698416106,597.4818936590598,232.94818824687786,56047.09496403609,6966.460277464245
2017-11-12,9962.377909573022,1363.693551765273,7719.9799259529655,604.1763397833139,234.02454311978363,55511.08094771163,6917.188502480259
2017-11-19,9940.768013949708,1360.994790980077,7640.119153489824,610.8707859075681,235.1008979926894,54975.06693138717,6867.916727496271
2017-11-26,9919.158118326395,1358.2960301948808,7560.258381026684,617.5652320318222,236.17725286559516,54439.052915062704,6818.644952512284
2017-12-03,9897.548222703083,1355.5972694096847,7480.397608563543,624.2596781560763,237.25360773850093,53903.03889873825,6769.373177528298
2017-12-10,9875.93832707977,1352.8985086244884,7400.536836100403,630.9541242803306,238.3299626114067,53367.02488241378,6720.101402544311
2017-12-17,9854.328431456455,1350.1997478392923,7320.676063637262,637.6485704045847,239.40631748431247,52831.010866089324,6670.829627560323
2017-12-24,9832.718535833143,1347.5009870540962,7240.815291174122,644.3430165288389,240.48267235721823,52294.99684976486,6621.557852576337
2017-12-31,9811.10864020983,1344.8022262689,7160.954518710981,651.037462653093,241.559027230124,51758.9828334404,6572.28607759235
2018-01-07,9782.257185794933,1338.9367057348593,7199.576104947401,648.0881667315471,242.57838638333777,49643.68654913862,6544.004085723917
2018-01-14,9753.405731380037,1333.0711852008185,7238.197691183822,645.1388708100012,243.59774553655154,47528.39026483683,6515.722093855484
2018-01-21,9724.55427696514,1327.2056646667777,7276.8192774202425,642.1895748884552,244.6171046897653,45413.09398053505,6487.440101987051
2018-01-28,9695.702822550242,1321.340144132737,7315.440863656663,639.2402789669094,245.63646384297908,43297.79769623326,6459.1581101186175
2018-02-04,9666.851368135345,1315.474623598696,7354.062449893084,636.2909830453634,246.65582299619285,41182.50141193148,6430.876118250185
2018-02-11,9637.999913720449,1309.6091030646553,7392.684036129504,633.3416871238175,247.67518214940662,39067.2051276297,6402.594126381751
2018-02-18,9609.148459305552,1303.7435825306147,7431.305622365926,630.3923912022716,248.69454130262037,36951.90884332791,6374.312134513319
2018-02-25,9580.297004890655,1297.878061996574,7469.927208602347,627.4430952807256,249.71390045583414,34836.61255902612,6346.030142644885
2018-03-04,9551.445550475759,1292.0125414625331,7508.548794838767,624.4937993591797,250.7332596090479,32721.31627472434,6317.748150776452
2018-03-11,9522.59409606086,1286.1470209284923,7547.170381075188,621.5445034376338,251.75261876226168,30606.019990422556,6289.466158908019
2018-03-18,9493.742641645964,1280.2815003944515,7585.7919673116085,618.5952075160878,252.77197791547545,28490.72370612077,6261.184167039586
2018-03-25,9464.891187231067,1274.4159798604107,7624.413553548029,615.645911594542,253.79133706868922,26375.42742181899,6232.902175171153
2018-04-01,9436.03973281617,1268.55045932637,7663.03513978445,612.696615672996,254.810696221903,24260.1311375172,6204.62018330272
2018-04-08,9490.623674974197,1268.6139532326506,7669.89703820051,608.0173251950046,254.79143300947652,24126.409566705523,6311.760653598751
2018-04-15,9545.207617132222,1268.6774471389315,7676.758936616569,603.3380347170131,254.77216979705005,23992.687995893848,6418.901123894781
2018-04-22,9599.791559290246,1268.7409410452121,7683.62083503263,598.6587442390216,254.75290658462362,23858.96642508217,6526.041594190812
2018-04-29,9654.375501448272,1268.804434951493,7690.48273344869,593.9794537610302,254.73364337219715,23725.244854270495,6633.182064486843
2018-05-06,9708.959443606298,1268.8679288577737,7697.344631864749,589.3001632830387,254.71438015977068,23591.523283458817,6740.322534782874
2018-05-13,9763.543385764324,1268.9314227640546,7704.20653028081,584.6208728050473,254.69511694734422,23457.80171264714,6847.463005078905
2018-05-20,9818.127327922348,1268.9949166703352,7711.06842869687,579.9415823270557,254.67585373491778,23324.080141835464,6954.603475374935
2018-05-27,9872.711270080374,1269.058410576616,7717.93032711293,575.2622918490642,254.6565905224913,23190.358571023786,7061.743945670966
2018-06-03,9927.2952122384,1269.1219044828968,7724.79222552899,570.5830013710728,254.63732731006485,23056.637000212108,7168.884415966997
2018-06-10,9981.879154396425,1269.1853983891776,7731.65412394505,565.9037108930813,254.61806409763838,22922.915429400433,7276.024886263028
2018-06-17,10036.46309655445,1269.2488922954583,7738.51602236111,561.2244204150899,254.59880088521194,22789.193858588755,7383.165356559059
2018-06-24,10091.047038712475,1269.3123862017392,7745.3779207771695,556.5451299370984,254.57953767278548,22655.47228777708,7490.305826855089
2018-07-01,10145.630980870501,1269.3758801080198,7752.23981919323,551.865839459107,254.560274460359,22521.7507169654,7597.44629715112
2018-07-08,10542.765794694962,1279.8510948724252,7706.1892617417,544.0460540304404,256.95938447670585,22314.81807191448,7608.992815745398
2018-07-15,10939.900608519423,1290.3263096368305,7660.13870429017,536.2262686017738,259.3584944930527,22107.885426863555,7620.539334339675
2018-07-22,11337.035422343886,1300.801524401236,7614.08814683864,528.4064831731071,261.7576045093995,21900.952781812633,7632.085852933953
2018-07-29,11734.170236168347,1311.2767391656414,7568.0375893871105,520.5866977444405,264.1567145257464,21694.02013676171,7643.632371528231
2018-08-05,12131.305049992809,1321.7519539300467,7521.9870319355805,512.7669123157739,266.55582454209326,21487.087491710787,7655.178890122508
2018-08-12,12528.43986381727,1332.227168694452,7475.93647448405,504.9471268871073,268.9549345584401,21280.15484665986,7666.725408716786
2018-08-19,12925.574677641733,1342.7023834588576,7429.88591703252,497.12734145844064,271.35404457478694,21073.22220160894,7678.271927311064
2018-08-26,13322.709491466194,1353.177598223263,7383.83535958099,489.30755602977405,273.7531545911338,20866.289556558015,7689.818445905342
2018-09-02,13719.844305290655,1363.6528129876683,7337.78480212946,481.4877706011074,276.1522646074806,20659.356911507093,7701.364964499619
2018-09-09,14116.979119115116,1374.1280277520736,7291.734244677931,473.6679851724408,278.5513746238275,20452.424266456168,7712.911483093897
2018-09-16,14514.113932939577,1384.6032425164792,7245.683687226401,465.8481997437742,280.95048464017435,20245.491621405246,7724.458001688175
2018-09-23,14911.248746764039,1395.0784572808845,7199.633129774871,458.02841431510757,283.34959465652116,20038.558976354325,7736.004520282452
2018-09-30,15308.383560588501,1405.5536720452899,7153.582572323341,450.208628886441,285.74870467286803,19831.6263313034,7747.55103887673
2018-10-07,15190.284154371337,1399.8446597321179,7090.9763609350775,442.8588886195715,286.9067026425027,19586.239021346984,7747.55103887673
2018-10-14,15072.184748154174,1394.1356474189456,7028.370149546814,435.50914835270197,288.0647006121373,19340.851711390573,7747.55103887673
2018-10-21,14954.085341937009,1388.4266351057736,6965.76393815855,428.15940808583247,289.22269858177197,19095.464401434157,7747.55103887673
2018-10-28,14835.985935719844,1382.7176227926013,6903.157726770287,420.809667818963,290.3806965514066,18850.077091477742,7747.55103887673
2018-11-04,14717.886529502679,1377.0086104794293,6840.551515382023,413.4599275520935,291.53869452104124,18604.689781521327,7747.55103887673
2018-11-11,14599.787123285516,1371.299598166257,6777.94530399376,406.110187285224,292.69669249067584,18359.302471564915,7747.55103887673
2018-11-18,14481.687717068351,1365.590585853085,6715.339092605496,398.7604470183545,293.8546904603105,18113.9151616085,7747.55103887673
2018-11-25,14363.588310851186,1359.881573539913,6652.732881217232,391.410706751485,295.0126884299452,17868.527851652085,7747.55103887673
2018-12-02,14245.488904634023,1354.1725612267408,6590.126669828968,384.0609664846155,296.1706863995798,17623.140541695673,7747.55103887673
2018-12-09,14127.389498416858,1348.4635489135687,6527.520458440705,376.711226217746,297.32868436921444,17377.753231739258,7747.55103887673
2018-12-16,14009.290092199693,1342.7545366003965,6464.914247052441,369.3614859508765,298.48668233884905,17132.365921782843,7747.55103887673
2018-12-23,13891.190685982529,1337.0455242872245,6402.308035664178,362.01174568400705,299.6446803084837,16886.97861182643,7747.55103887673
2018-12-30,13773.091279765365,1331.3365119740522,6339.701824275914,354.66200541713755,300.8026782781183,16641.591301870016,7747.55103887673
2019-01-06,13654.9918735482,1325.6274996608802,6277.0956128876505,347.31226515026805,301.960676247753,16396.2039919136,7747.55103887673
2019-01-13,13640.670166780084,1343.9869997855685,6340.227512372139,361.7090662777822,301.30260454588785,16625.65129856581,7597.64465708614
2019-01-20,13626.348460011966,1362.3464999102569,6403.359411856629,376.1058674052964,300.64453284402265,16855.098605218016,7447.73827529555
2019-01-27,13612.02675324385,1380.7060000349452,6466.491311341118,390.50266853281056,299.9864611421575,17084.545911870227,7297.831893504959
2019-02-03,13597.705046475734,1399.0655001596333,6529.623210825607,404.8994696603247,299.3283894402923,17313.993218522435,7147.925511714369
2019-02-10,13583.383339707618,1417.4250002843216,6592.755110310096,419.29627078783886,298.6703177384272,17543.440525174643,6998.0191299237795
2019-02-17,13569.061632939502,1435.78450040901,6655.8870097945855,433.693071915353,298.01224603656203,17772.88783182685,6848.11274813319
2019-02-24,13554.739926171384,1454.1440005336983,6719.018909279074,448.0898730428672,297.35417433469684,18002.33513847906,6698.2063663426
2019-03-03,13540.418219403267,1472.5035006583867,6782.150808763563,462.4866741703814,296.6961026328317,18231.782445131266,6548.29998455201
2019-03-10,13526.096512635151,1490.8630007830748,6845.282708248053,476.88347529789553,296.0380309309665,18461.229751783474,6398.39360276142
2019-03-17,13511.774805867033,1509.222500907763,6908.414607732541,491.28027642540974,295.37995922910136,18690.677058435685,6248.48722097083
2019-03-24,13497.453099098917,1527.5820010324514,6971.54650721703,505.6770775529239,294.72188752723616,18920.124365087893,6098.580839180239
2019-03-31,13483.1313923308,1545.9415011571398,7034.67840670152,520.073878680438,294.063815825371,19149.5716717401,5948.674457389649
2019-04-07,13441.809892985908,1532.4076371205958,7091.413544273699,514.5112695824107,300.6319053118607,19510.878754675046,6141.953969890966
2019-04-14,13400.488393641015,1518.8737730840521,7148.148681845878,508.9486604843834,307.1999947983504,19872.18583760999,6335.233482392282
2019-04-21,13359.166894296124,1505.3399090475082,7204.883819418057,503.3860513863561,313.7680842848401,20233.492920544937,6528.512994893597
2019-04-28,13317.845394951231,1491.8060450109645,7261.618956990236,497.8234422883288,320.3361737713298,20594.800003479886,6721.792507394914
2019-05-05,13276.523895606339,1478.2721809744205,7318.354094562415,492.26083319030147,326.9042632578195,20956.10708641483,6915.07201989623
2019-05-12,13235.202396261446,1464.7383169378768,7375.089232134595,486.6982240922742,333.47235274430915,21317.414169349777,7108.351532397546
2019-05-19,13193.880896916555,1451.2044529013328,7431.824369706775,481.13561499424685,340.0404422307989,21678.721252284722,7301.6310448988625
2019-05-26,13152.559397571662,1437.6705888647891,7488.559507278954,475.57300589621957,346.60853171728854,22040.028335219667,7494.910557400178
2019-06-02,13111.23789822677,1424.1367248282452,7545.294644851133,470.01039679819223,353.17662120377827,22401.335418154613,7688.190069901494
2019-06-09,13069.916398881876,1410.6028607917015,7602.029782423312,464.44778770016495,359.74471069026794,22762.642501089562,7881.46958240281
2019-06-16,13028.594899536985,1397.0689967551575,7658.764919995491,458.8851786021376,366.3128001767576,23123.949584024507,8074.749094904126
2019-06-23,12987.273400192093,1383.5351327186136,7715.50005756767,453.32256950411033,372.88088966324733,23485.256666959453,8268.028607405442
2019-06-30,12945.9519008472,1370.0012686820698,7772.23519513985,447.759960406083,379.448979149737,23846.563749894398,8461.308119906758
2019-07-07,13207.95395929105,1398.939858314287,7979.938980320639,451.6993932441279,377.105517035064,24546.636931478468,8428.54502680056
2019-07-14,13469.9560177349,1427.8784479465041,8187.642765501428,455.63882608217284,374.762054920391,25246.71011306254,8395.781933694361
2019-07-21,13731.958076178751,1456.8170375787213,8395.346550682218,459.57825892021776,372.418592805718,25946.78329464661,8363.018840588164
2019-07-28,13993.9601346226,1485.7556272109384,8603.050335863007,463.51769175826274,370.075130691045,26646.856476230685,8330.255747481964
2019-08-04,14255.96219306645,1514.6942168431556,8810.754121043796,467.45712459630766,367.731668576372,27346.929657814755,8297.492654375767
2019-08-11,14517.9642515103,1543.632806475373,9018.457906224585,471.3965574343526,365.388206461699,28047.002839398825,8264.729561269567
2019-08-18,14779.96630995415,1572.5713961075899,9226.161691405374,475.3359902723975,363.04474434702604,28747.0760209829,8231.96646816337
2019-08-25,15041.968368398002,1601.5099857398072,9433.865476586163,479.27542311044243,360.70128223235304,29447.149202566972,8199.20337505717
2019-09-01,15303.970426841852,1630.4485753720244,9641.569261766952,483.21485594848735,358.35782011768003,30147.222384151042,8166.440281950972
2019-09-08,15565.972485285702,1659.3871650042415,9849.273046947743,487.1542887865323,356.01435800300703,30847.295565735112,8133.677188844774
2019-09-15,15827.974543729553,1688.3257546364587,10056.976832128532,491.09372162457726,353.67089588833403,31547.368747319186,8100.914095738575
2019-09-22,16089.976602173403,1717.2643442686758,10264.680617309321,495.0331544626222,351.327433773661,32247.441928903256,8068.151002632377
2019-09-29,16351.978660617253,1746.202933900893,10472.38440249011,498.9725873006671,348.983971658988,32947.51511048733,8035.387909526178
2019-10-06,16613.980719061103,1775.14152353311,10680.088187670899,502.912020138712,346.640509544315,33647.5882920714,8002.62481641998
2019-10-13,16404.21771735065,1769.9473641559432,10628.283429814399,502.912020138712,351.71669252745596,34939.41193537431,8002.62481641998
2019-10-20,16194.454715640195,1764.7532047787763,10576.478671957899,502.912020138712,356.79287551059684,36231.23557867722,8002.62481641998
2019-10-27,15984.69171392974,1759.5590454016094,10524.673914101399,502.912020138712,361.8690584937378,37523.05922198012,8002.62481641998
2019-11-03,15774.928712219287,1754.3648860244425,10472.8691562449,502.912020138712,366.9452414768787,38814.88286528303,8002.62481641998
2019-11-10,15565.165710508832,1749.1707266472756,10421.0643983884,502.912020138712,372.0214244600196,40106.706508585936,8002.62481641998
2019-11-17,15355.402708798378,1743.9765672701087,10369.2596405319,502.912020138712,377.09760744316054,41398.530151888845,8002.62481641998
