DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
09/30/2017,8439.01876207577,1641.72885064727,4706.10328646292,955.523190020351,851.150221758768,18438.3995800267,5414.35768516055
12/31/2017,8268.07192069073,1360.02900879427,7603.35715325803,1051.56323542393,830.881279124762,17539.9033761433,5560.63165127048
03/31/2018,8520.60937521491,1397.72802893022,6913.92268232318,1073.64013657144,679.945071310911,21792.3195587345,4640.2830732618
06/30/2018,8281.23080914219,1234.30142185772,6798.89498899847,590.677365403483,736.508791529334,26996.8746815521,5160.10145249103
09/30/2018,9381.88246035944,1253.64861077008,8024.4111379659,604.174321790583,682.923421768501,35182.9233805267,5811.18228169717
12/31/2018,9530.77694221315,1182.86690925057,7686.43954384028,255.288072576844,624.065091232666,41714.0771618728,5903.53608629796
03/31/2019,8105.4494477481,1440.36453719187,6576.84882072826,261.237679135304,624.065091232666,48216.3903076537,4974.98313747713
06/30/2019,7992.89350159107,2018.86874263781,6571.28327187969,360.285377959512,534.659526730617,48839.4175057405,5157.46056806168
09/30/2019,9906.75451957453,2187.07896764482,7857.59697908427,340.15731654633,550.625472271566,260706.998789829,5470.26608381876
12/31/2019,10301.5702807873,2032.57093825719,8648.03395447651,509.919181271475,523.229349693757,324468.737914764,3372.95162942556
