DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
09/30/2017,10092.0372833129,1379.88611647645,8199.14456073181,564.009663037789,227.566413882349,58727.1650456584,7212.81915238418
12/31/2017,9811.10864020983,1344.8022262689,7160.95451871098,651.037462653093,241.559027230124,51758.9828334404,6572.28607759235
03/31/2018,9436.03973281617,1268.55045932637,7663.03513978445,612.696615672996,254.810696221903,24260.1311375172,6204.62018330272
06/30/2018,10145.6309808705,1269.37588010802,7752.23981919323,551.865839459107,254.560274460359,22521.7507169654,7597.44629715112
09/30/2018,15308.3835605885,1405.55367204529,7153.58257232334,450.208628886441,285.748704672868,19831.6263313034,7747.55103887673
12/31/2018,13654.9918735482,1325.62749966088,6277.09561288765,347.312265150268,301.960676247753,16396.2039919136,7747.55103887673
03/31/2019,13483.1313923308,1545.94150115714,7034.67840670152,520.073878680438,294.063815825371,19149.5716717401,5948.67445738965
06/30/2019,12945.9519008472,1370.00126868207,7772.23519513985,447.759960406083,379.448979149737,23846.5637498944,8461.30811990676
09/30/2019,16613.9807190611,1775.14152353311,10680.0881876709,502.912020138712,346.640509544315,33647.5882920714,8002.62481641998
12/31/2019,13887.0616968252,1707.61745162994,10006.6263355364,502.912020138712,412.630888325147,50441.2956550092,8002.62481641998
