DATES,D Revenue,U CR,D OE,D NOI,U CAPEX,U WK,D FCF
2017-04-02,35413.0515427777,6626.901059737939,49587.501459205196,1769.5660484989,7485.4217783635995,215978.231864605,20634.5791080571
2017-04-09,35183.119976199705,6555.3700690141395,49098.12756107285,1778.28045546553,7499.3063801415965,216064.5509566724,20672.6673316639
2017-04-16,34953.18840962171,6483.83907829034,48608.75366294051,1786.99486243216,7513.1909819195935,216150.87004873977,20710.755555270698
2017-04-23,34723.256843043724,6412.308087566539,48119.37976480816,1795.70926939879,7527.07558369759,216237.18914080717,20748.8437788775
2017-04-30,34493.32527646573,6340.777096842739,47630.00586667581,1804.42367636542,7540.960185475587,216323.50823287453,20786.9320024843
2017-05-07,34263.393709887736,6269.24610611894,47140.63196854347,1813.13808333205,7554.844787253584,216409.82732494193,20825.0202260911
2017-05-14,34033.46214330974,6197.71511539514,46651.258070411124,1821.8524902986799,7568.729389031581,216496.14641700932,20863.1084496979
2017-05-21,33803.530576731755,6126.184124671339,46161.88417227878,1830.56689726531,7582.613990809578,216582.4655090767,20901.1966733047
2017-05-28,33573.59901015376,6054.65313394754,45672.51027414643,1839.2813042319399,7596.498592587575,216668.78460114409,20939.2848969115
2017-06-04,33343.66744357577,5983.12214322374,45183.13637601409,1847.9957111985698,7610.383194365572,216755.10369321148,20977.3731205183
2017-06-11,33113.73587699777,5911.59115249994,44693.76247788174,1856.7101181652,7624.267796143569,216841.42278527885,21015.4613441251
2017-06-18,32883.804310419786,5840.0601617761395,44204.38857974939,1865.4245251318298,7638.152397921566,216927.74187734624,21053.5495677319
2017-06-25,32653.87274384179,5768.52917105234,43715.01468161705,1874.13893209846,7652.036999699563,217014.0609694136,21091.6377913387
2017-07-02,32423.941177263798,5696.99818032854,43225.640783484705,1882.8533390650898,7665.92160147756,217100.380061481,21129.7260149455
2017-07-09,32560.11105335356,5501.009670133585,42280.90826210692,1854.0076764983628,7380.746485385772,217377.41393248847,21306.161558874745
2017-07-16,32696.28092944332,5305.021159938631,41336.17574072914,1825.162013931636,7095.5713692939835,217654.44780349592,21482.597102803993
2017-07-23,32832.45080553308,5109.032649743676,40391.44321935135,1796.316351364909,6810.396253202195,217931.4816745034,21659.032646733238
2017-07-30,32968.620681622844,4913.044139548721,39446.71069797357,1767.4706887981822,6525.221137110407,218208.51554551083,21835.468190662483
2017-08-06,33104.79055771261,4717.055629353767,38501.97817659578,1738.6250262314552,6240.046021018618,218485.5494165183,22011.90373459173
2017-08-13,33240.96043380237,4521.067119158813,37557.245655217994,1709.7793636647284,5954.870904926829,218762.58328752578,22188.339278520976
2017-08-20,33377.13030989213,4325.078608963858,36612.51313384021,1680.9337010980014,5669.695788835041,219039.61715853322,22364.77482245022
2017-08-27,33513.30018598189,4129.090098768904,35667.780612462426,1652.0880385312746,5384.520672743252,219316.6510295407,22541.210366379466
2017-09-03,33649.470062071654,3933.101588573949,34723.04809108464,1623.2423759645476,5099.345556651464,219593.68490054816,22717.645910308715
2017-09-10,33785.63993816142,3737.113078378994,33778.31556970686,1594.3967133978208,4814.170440559676,219870.7187715556,22894.08145423796
2017-09-17,33921.80981425117,3541.1245681840396,32833.58304832907,1565.5510508310938,4528.995324467887,220147.75264256308,23070.516998167204
2017-09-24,34057.97969034094,3345.136057989085,31888.85052695129,1536.7053882643668,4243.820208376099,220424.78651357052,23246.952542096453
2017-10-01,34194.1495664307,3149.1475477941303,30944.118005573502,1507.85972569764,3958.6450922843105,220701.820384578,23423.388086025698
2017-10-08,33745.10370508678,3142.7978435346786,29848.337873626748,1515.7909969894793,3943.195691493542,220232.7443392623,23566.64514262065
2017-10-15,33296.05784374287,3136.4481392752273,28752.557741679993,1523.7222682813185,3927.7462907027734,219763.6682939466,23709.902199215605
2017-10-22,32847.01198239895,3130.0984350157755,27656.77760973324,1531.6535395731578,3912.296889912005,219294.5922486309,23853.15925581056
2017-10-29,32397.96612105504,3123.748730756324,26560.997477786485,1539.5848108649968,3896.8474891212363,218825.51620331523,23996.416312405512
2017-11-05,31948.920259711125,3117.3990264968725,25465.21734583973,1547.516082156836,3881.398088330468,218356.44015799952,24139.673369000466
2017-11-12,31499.87439836721,3111.049322237421,24369.43721389298,1555.4473534486754,3865.9486875396997,217887.36411268383,24282.93042559542
2017-11-19,31050.82853702329,3104.6996179779694,23273.657081946225,1563.3786247405146,3850.499286748931,217418.28806736815,24426.187482190377
2017-11-26,30601.782675679377,3098.349913718518,22177.87694999947,1571.309896032354,3835.0498859581626,216949.21202205247,24569.44453878533
2017-12-03,30152.73681433546,3092.0002094590664,21082.096818052716,1579.2411673241932,3819.6004851673943,216480.13597673675,24712.701595380284
2017-12-10,29703.690952991547,3085.650505199615,19986.31668610596,1587.1724386160322,3804.1510843766255,216011.05993142107,24855.958651975237
2017-12-17,29254.64509164763,3079.3008009401633,18890.53655415921,1595.1037099078715,3788.701683585857,215541.9838861054,24999.21570857019
2017-12-24,28805.599230303716,3072.951096680712,17794.756422212457,1603.0349811997107,3773.2522827950884,215072.90784078967,25142.472765165145
2017-12-31,28356.5533689598,3066.6013924212602,16698.976290265702,1610.96625249155,3757.80288200432,214603.831795474,25285.7298217601
2018-01-07,28136.025141478072,3055.875404622812,16310.064840518071,1619.2403049825261,3753.668458565424,214603.831795474,24877.830291354505
2018-01-14,27915.49691399634,3045.1494168243635,15921.15339077044,1627.5143574735023,3749.5340351265277,214603.831795474,24469.930760948915
2018-01-21,27694.96868651461,3034.4234290259146,15532.241941022809,1635.7884099644784,3745.3996116876315,214603.831795474,24062.03123054332
2018-01-28,27474.440459032878,3023.6974412274662,15143.330491275177,1644.0624624554546,3741.2651882487353,214603.831795474,23654.13170013773
2018-02-04,27253.91223155115,3012.971453429018,14754.419041527546,1652.3365149464307,3737.130764809839,214603.831795474,23246.23216973214
2018-02-11,27033.384004069416,3002.2454656305695,14365.507591779915,1660.6105674374069,3732.996341370943,214603.831795474,22838.332639326545
2018-02-18,26812.855776587687,2991.5194778321206,13976.596142032286,1668.8846199283832,3728.861917932047,214603.831795474,22430.43310892095
2018-02-25,26592.327549105954,2980.7934900336722,13587.684692284653,1677.1586724193594,3724.727494493151,214603.831795474,22022.53357851536
2018-03-04,26371.799321624225,2970.067502235224,13198.773242537023,1685.4327249103355,3720.593071054255,214603.831795474,21614.63404810977
