DATES,U Revenue,D CR,U OE,U NOI,D CAPEX,D WK,U FCF
2017-04-02,16619.7445059918,15250.0742424422,21509.084890911698,1068.5706741785,2905.4763311909996,142273.39005222401,16163.666714441899
2017-04-09,16647.313962944947,15274.018004400423,21287.272588460397,1064.7892166546362,2899.0895277630275,141473.69401933817,16112.161569766698
2017-04-16,16674.88341989809,15297.961766358647,21065.460286009096,1061.0077591307722,2892.7027243350553,140673.99798645233,16060.656425091498
2017-04-23,16702.45287685124,15321.90552831687,20843.6479835578,1057.2263016069085,2886.3159209070827,139874.30195356646,16009.1512804163
2017-04-30,16730.022333804383,15345.849290275093,20621.8356811065,1053.4448440830445,2879.9291174791106,139074.60592068062,15957.646135741099
2017-05-07,16757.59179075753,15369.793052233315,20400.023378655198,1049.6633865591807,2873.5423140511384,138274.90988779478,15906.140991065899
2017-05-14,16785.161247710676,15393.736814191538,20178.211076203897,1045.881929035317,2867.1555106231663,137475.21385490894,15854.635846390698
2017-05-21,16812.730704663823,15417.680576149762,19956.3987737526,1042.100471511453,2860.7687071951937,136675.51782202307,15803.1307017155
2017-05-28,16840.300161616968,15441.624338107984,19734.5864713013,1038.3190139875892,2854.3819037672215,135875.82178913723,15751.6255570403
2017-06-04,16867.869618570116,15465.568100066206,19512.77416885,1034.5375564637254,2847.9951003392493,135076.1257562514,15700.120412365099
2017-06-11,16895.43907552326,15489.51186202443,19290.9618663987,1030.7560989398614,2841.608296911277,134276.42972336555,15648.615267689898
2017-06-18,16923.008532476408,15513.455623982652,19069.1495639474,1026.9746414159977,2835.2214934833046,133476.73369047968,15597.1101230147
2017-06-25,16950.577989429552,15537.399385940877,18847.3372614961,1023.1931838921338,2828.8346900553324,132677.03765759384,15545.6049783395
2017-07-02,16978.1474463827,15561.343147899099,18625.5249590448,1019.4117263682699,2822.4478866273603,131877.341624708,15494.099833664299
2017-07-09,16481.870856196845,15402.268567387477,18625.5249590448,1017.1795354175222,2786.748454369208,132616.38172610317,15425.883794122914
2017-07-16,15985.594266010992,15243.193986875853,18625.5249590448,1014.9473444667744,2751.049022111056,133355.4218274983,15357.66775458153
2017-07-23,15489.31767582514,15084.11940636423,18625.5249590448,1012.7151535160266,2715.349589852903,134094.46192889346,15289.451715040144
