DATES,D Revenue,U CR,D OE,D NOI,U CAPEX,U WK,D FCF
03/31/2017,35413.0515427777,6626.90105973794,49587.5014592052,1769.5660484989,7485.4217783636,215978.231864605,20634.5791080571
06/30/2017,32423.9411772638,5696.99818032854,43225.6407834847,1882.85333906509,7665.92160147756,217100.380061481,21129.7260149455
09/30/2017,34194.1495664307,3149.14754779413,30944.1180055735,1507.85972569764,3958.64509228431,220701.820384578,23423.3880860257
12/31/2017,28356.5533689598,3066.60139242126,16698.9762902657,1610.96625249155,3757.80288200432,214603.831795474,25285.7298217601
03/31/2018,25489.6864116973,2927.16355104143,11643.1274435465,1718.52893487424,3704.05537729867,214603.831795474,19983.0359264874
06/30/2018,21388.4698938471,2393.65358243988,11324.1024662737,1865.70647923693,4012.70850815613,192077.477038563,14253.6470715142
09/30/2018,18761.2198181959,1523.68265870701,11228.2430682632,2119.73449595305,2263.45113218239,172328.128006719,14221.447637451
12/31/2018,20083.8121505853,1524.80650337257,7345.5851196484,4536.32729565817,2174.82122509211,165206.719390789,15601.9673622088
03/31/2019,13749.9299920296,1534.83791267411,8996.24451831615,1935.6532560812,2122.20185054212,161281.834133828,13187.6158555055
06/30/2019,9427.80684142848,3002.74900240239,9138.35225847636,261.671602925839,1932.43888073536,144434.449627158,13776.5762909367
09/30/2019,9126.39064060925,4141.46039459512,7997.73319343259,257.075453687996,1923.40769023553,114799.329523739,13776.5762909367
12/31/2019,10565.2329084935,4330.39135644805,7677.32908101391,257.075453687996,1744.35742023352,57845.88721891,13729.526716776
03/31/2020,9200.48146935024,3980.91362629234,6308.22781065421,291.638684371985,2028.62161742073,61311.6075396821,17056.4623696318
