DATES,U Revenue,D CR,U OE,U NOI,D CAPEX,D WK,U FCF
03/31/2017,16619.7445059918,15250.0742424422,21509.0848909117,1068.5706741785,2905.476331191,142273.390052224,16163.6667144419
06/30/2017,16978.1474463827,15561.3431478991,18625.5249590448,1019.41172636827,2822.44788662736,131877.341624708,15494.0998336643
09/30/2017,10526.5517739666,13493.373601248,18625.5249590448,990.393244008549,2358.35526727138,141484.862942845,14607.2913196263
12/31/2017,12448.2739437152,7981.25195066539,17202.2631396279,972.943300848856,2026.4267592771,98178.0514125416,13881.0387439525
03/31/2018,11274.710877791,6085.37067893159,12385.9831422459,947.99375717162,2251.09009395696,97015.1222669574,13159.6297494594
06/30/2018,9745.05368778324,6172.11347108908,12385.9831422459,995.267479655899,2166.22814151952,100837.643646697,11677.4049335519
09/30/2018,9862.02233260952,5242.11136852318,12385.9831422459,999.77847546344,1208.89506811563,98744.1957441736,11460.6616713192
12/31/2018,11581.199698414,5147.28645015993,15727.3494103803,930.693703229354,1208.89506811563,87899.5731313738,9904.51146083328
03/31/2019,8503.0301059177,3669.17072374672,12385.9831422459,651.466916164699,1208.89506811563,43359.661945497,8988.47001410387
06/30/2019,7823.16904982519,2283.8072379253,11050.6050648822,651.466916164699,1208.89506811563,50550.921395713,8508.4907631534
09/30/2019,8837.61334035221,1999.20964838154,21557.6376411393,712.908876832564,1331.1839990346,48886.4118345329,10548.7197880438
12/31/2019,10670.5607221458,1680.03994541256,22119.7765020355,651.681338283265,1354.79815019722,41185.1677549091,10548.7197880438
03/31/2020,9575.90675956367,1680.03994541256,15774.7382968255,464.166959904156,1354.79815019722,46270.6466246871,9121.60534664814
