DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
2017-01-01,29454.8025583267,8741.41882893494,22661.662516241002,747.721809740698,6947.11344646791,54419.9304437262,11165.2528010391
2017-01-08,29599.84213117977,8682.591156938859,22556.64555835124,745.462912587456,6919.2032404683705,54592.29422714541,11208.506707147031
2017-01-15,29744.88170403284,8623.763484942778,22451.628600461478,743.204015434214,6891.293034468831,54764.65801056462,11251.76061325496
2017-01-22,29889.921276885907,8564.935812946696,22346.611642571715,740.9451182809722,6863.382828469292,54937.021793983826,11295.014519362892
2017-01-29,30034.960849738978,8506.108140950615,22241.594684681953,738.6862211277303,6835.472622469753,55109.38557740303,11338.268425470822
2017-02-05,30180.000422592046,8447.280468954532,22136.57772679219,736.4273239744883,6807.562416470214,55281.74936082224,11381.522331578753
2017-02-12,30325.039995445117,8388.45279695845,22031.56076890243,734.1684268212464,6779.652210470675,55454.11314424145,11424.776237686685
2017-02-19,30470.079568298184,8329.62512496237,21926.54381101267,731.9095296680046,6751.742004471135,55626.47692766065,11468.030143794615
2017-02-26,30615.119141151255,8270.797452966288,21821.52685312291,729.6506325147626,6723.831798471596,55798.84071107986,11511.284049902546
2017-03-05,30760.158714004323,8211.969780970207,21716.509895233146,727.3917353615207,6695.921592472057,55971.20449449907,11554.537956010478
2017-03-12,30905.198286857394,8153.142108974125,21611.492937343384,725.1328382082787,6668.011386472517,56143.568277918275,11597.791862118407
2017-03-19,31050.23785971046,8094.314436978043,21506.475979453622,722.8739410550369,6640.101180472979,56315.93206133748,11641.045768226339
2017-03-26,31195.277432563533,8035.486764981962,21401.45902156386,720.6150439017949,6612.190974473439,56488.29584475669,11684.299674334268
2017-04-02,31340.3170054166,7976.65909298588,21296.442063674098,718.356146748553,6584.2807684739,56660.6596281759,11727.5535804422
2017-04-09,31162.32233549321,7958.124992766434,21659.27872620846,715.142706246067,8918.605933042916,56797.750759493065,11649.65339890936
2017-04-16,30984.327665569817,7939.590892546988,22022.115388742823,711.929265743581,11252.93109761193,56934.84189081024,11571.753217376523
2017-04-23,30806.332995646422,7921.056792327542,22384.952051277185,708.715825241095,13587.256262180945,57071.93302212741,11493.853035843684
2017-04-30,30628.33832572303,7902.522692108096,22747.788713811544,705.502384738609,15921.58142674996,57209.024153444574,11415.952854310846
2017-05-07,30450.34365579964,7883.988591888649,23110.625376345906,702.288944236123,18255.906591318977,57346.11528476175,11338.052672778007
2017-05-14,30272.348985876248,7865.454491669203,23473.46203888027,699.075503733637,20590.23175588799,57483.206416078916,11260.15249124517
2017-05-21,30094.354315952853,7846.9203914497575,23836.29870141463,695.862063231151,22924.556920457006,57620.29754739608,11182.25230971233
2017-05-28,29916.35964602946,7828.386291230311,24199.135363948993,692.6486227286649,25258.882085026024,57757.38867871325,11104.352128179493
2017-06-04,29738.36497610607,7809.852191010865,24561.972026483356,689.435182226179,27593.207249595034,57894.479810030425,11026.451946646654
2017-06-11,29560.370306182678,7791.318090791418,24924.808689017715,686.221741723693,29927.532414164052,58031.57094134759,10948.551765113816
2017-06-18,29382.375636259283,7772.783990571973,25287.645351552077,683.0083012212069,32261.85757873307,58168.66207266476,10870.651583580977
2017-06-25,29204.38096633589,7754.249890352527,25650.48201408644,679.794860718721,34596.18274330208,58305.753203981934,10792.75140204814
2017-07-02,29026.3862964125,7735.71579013308,26013.318676620802,676.581420216235,36930.5079078711,58442.8443352991,10714.8512205153
2017-07-09,29269.0052885347,7617.040779898404,25908.532924776588,678.0035862790552,36567.8360877042,58678.947586154514,10874.823842888907
2017-07-16,29511.6242806569,7498.365769663728,25803.74717293237,679.4257523418754,36205.1642675373,58915.050837009934,11034.796465262516
2017-07-23,29754.2432727791,7379.6907594290515,25698.961421088155,680.8479184046956,35842.4924473704,59151.15408786535,11194.769087636123
2017-07-30,29996.8622649013,7261.0157491943755,25594.17566924394,682.2700844675159,35479.8206272035,59387.25733872077,11354.741710009732
