DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
12/31/2016,29454.8025583267,8741.41882893494,22661.662516241,747.721809740698,6947.11344646791,54419.9304437262,11165.2528010391
03/31/2017,31340.3170054166,7976.65909298588,21296.4420636741,718.356146748553,6584.2807684739,56660.6596281759,11727.5535804422
06/30/2017,29026.3862964125,7735.71579013308,26013.3186766208,676.581420216235,36930.5079078711,58442.8443352991,10714.8512205153
09/30/2017,32180.4331940011,6192.94065708229,24651.103902646,695.069579032898,32215.7742457014,61512.1865964195,12794.4953113722
12/31/2017,32161.7608630112,8331.87151511858,30301.4904073177,711.485018688505,35188.1203249051,50366.7676747277,14035.5300738713
03/31/2018,41061.6409383936,7361.70160356965,33236.1179929019,722.564787909896,35188.1203249051,44742.8715104429,12720.2353232075
06/30/2018,42318.4362389995,9314.91522296962,33940.554667578,725.91795178744,35188.1203249051,37729.6807289005,14853.9759439836
09/30/2018,39951.2860645842,9061.42181763672,29358.3103561269,765.184683589524,31918.9322033178,89906.0104552646,10614.6683545826
12/31/2018,42674.3546756377,12418.3424378925,30021.3505121175,810.122213002458,35188.1203249051,112042.753817758,11169.9489959188
03/31/2019,43098.6560115274,11178.4282202907,24217.7512076073,1127.74244744879,35188.1203249051,125666.934361429,11516.488663775
06/30/2019,39474.7103377593,9525.83645496115,19567.9068758005,1365.79873863042,35188.1203249051,107706.675744821,21456.7112788693
09/30/2019,38787.0584391385,9140.03043393912,15887.4479424796,1458.93913879719,35188.1203249051,114822.134915993,22633.3573087747
12/31/2019,42877.605649686,11682.8500123349,19630.2155772959,2070.98324474149,28904.0211043377,122685.109120871,35128.8423721977
03/31/2020,36976.4114151557,10173.1790227328,19591.7568961484,2121.87268572939,29204.3433927216,122685.109120871,33210.2487762103
