DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
2017-01-01,54758.5609745179,24247.2384289133,84314.8859929254,11649.034294738798,42735.231367105094,268100.727339558,331360.758661843
2017-01-08,56542.17667270461,24172.166519302977,84314.8859929254,12261.640957538959,43163.616963478,268100.727339558,330179.85516537866
2017-01-15,58325.792370891315,24097.094609692653,84314.8859929254,12874.247620339122,43592.00255985091,268100.727339558,328998.95166891423
2017-01-22,60109.408069078025,24022.022700082332,84314.8859929254,13486.854283139282,44020.38815622382,268100.727339558,327818.04817244987
2017-01-29,61893.023767264734,23946.95079047201,84314.8859929254,14099.460945939445,44448.773752596724,268100.727339558,326637.1446759855
2017-02-05,63676.63946545144,23871.878880861685,84314.8859929254,14712.067608739606,44877.15934896963,268100.727339558,325456.2411795211
2017-02-12,65460.25516363815,23796.80697125136,84314.8859929254,15324.674271539767,45305.54494534254,268100.727339558,324275.3376830567
2017-02-19,67243.87086182485,23721.73506164104,84314.8859929254,15937.28093433993,45733.930541715454,268100.727339558,323094.43418659235
2017-02-26,69027.48656001156,23646.663152030716,84314.8859929254,16549.887597140092,46162.31613808836,268100.727339558,321913.530690128
2017-03-05,70811.10225819827,23571.591242420393,84314.8859929254,17162.494259940253,46590.70173446127,268100.727339558,320732.62719366356
2017-03-12,72594.71795638496,23496.51933281007,84314.8859929254,17775.100922740414,47019.087330834176,268100.727339558,319551.7236971992
2017-03-19,74378.33365457167,23421.44742319975,84314.8859929254,18387.70758554058,47447.47292720708,268100.727339558,318370.82020073483
2017-03-26,76161.94935275838,23346.375513589424,84314.8859929254,19000.314248340736,47875.85852357999,268100.727339558,317189.9167042704
2017-04-02,77945.5650509451,23271.3036039791,84314.8859929254,19612.9209111409,48304.2441199529,268100.727339558,316009.01320780604
2017-04-09,79687.86771073678,23186.82032133174,84314.8859929254,19939.001922765354,48304.2441199529,268100.727339558,317431.6144511216
2017-04-16,81430.17037052846,23102.337038684378,84314.8859929254,20265.082934389808,48304.2441199529,268100.727339558,318854.2156944371
2017-04-23,83172.47303032015,23017.853756037017,84314.8859929254,20591.16394601426,48304.2441199529,268100.727339558,320276.81693775265
2017-04-30,84914.77569011183,22933.370473389652,84314.8859929254,20917.244957638715,48304.2441199529,268100.727339558,321699.4181810682
2017-05-07,86657.07834990352,22848.88719074229,84314.8859929254,21243.32596926317,48304.2441199529,268100.727339558,323122.0194243837
2017-05-14,88399.38100969521,22764.40390809493,84314.8859929254,21569.406980887623,48304.2441199529,268100.727339558,324544.62066769926
2017-05-21,90141.68366948688,22679.92062544757,84314.8859929254,21895.487992512077,48304.2441199529,268100.727339558,325967.2219110148
2017-05-28,91883.98632927857,22595.437342800207,84314.8859929254,22221.56900413653,48304.2441199529,268100.727339558,327389.82315433037
2017-06-04,93626.28898907025,22510.954060152846,84314.8859929254,22547.650015760984,48304.2441199529,268100.727339558,328812.42439764587
2017-06-11,95368.59164886194,22426.47077750548,84314.8859929254,22873.73102738544,48304.2441199529,268100.727339558,330235.0256409614
2017-06-18,97110.89430865363,22341.98749485812,84314.8859929254,23199.812039009892,48304.2441199529,268100.727339558,331657.626884277
2017-06-25,98853.1969684453,22257.50421221076,84314.8859929254,23525.893050634346,48304.2441199529,268100.727339558,333080.2281275925
2017-07-02,100595.499628237,22173.020929563398,84314.8859929254,23851.9740622588,48304.2441199529,268100.727339558,334502.82937090803
2017-07-09,98853.1969684453,22144.155614900712,84314.8859929254,23606.371320068647,48168.77687418667,268100.727339558,332564.92170036247
2017-07-16,97110.89430865363,22115.29030023803,84314.8859929254,23360.76857787849,48033.30962842044,268100.727339558,330627.01402981696
2017-07-23,95368.59164886194,22086.424985575344,84314.8859929254,23115.165835688338,47897.842382654206,268100.727339558,328689.1063592714
2017-07-30,93626.28898907026,22057.559670912662,84314.8859929254,22869.563093498185,47762.375136887975,268100.727339558,326751.1986887259
2017-08-06,91883.98632927857,22028.694356249976,84314.8859929254,22623.96035130803,47626.907891121744,268100.727339558,324813.2910181803
2017-08-13,90141.68366948688,21999.82904158729,84314.8859929254,22378.357609117877,47491.44064535551,268100.727339558,322875.3833476348
2017-08-20,88399.38100969521,21970.96372692461,84314.8859929254,22132.754866927724,47355.97339958929,268100.727339558,320937.47567708924
2017-08-27,86657.07834990352,21942.098412261923,84314.8859929254,21887.15212473757,47220.50615382306,268100.727339558,318999.56800654373
2017-09-03,84914.77569011183,21913.233097599237,84314.8859929254,21641.549382547415,47085.03890805683,268100.727339558,317061.66033599817
2017-09-10,83172.47303032015,21884.367782936555,84314.8859929254,21395.946640357262,46949.5716622906,268100.727339558,315123.75266545266
2017-09-17,81430.17037052846,21855.50246827387,84314.8859929254,21150.34389816711,46814.104416524366,268100.727339558,313185.8449949071
