DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
2017-01-01,54652.5823900826,21256.5116073707,76587.6404302069,4027.1803806362896,17968.1536462305,171605.57312416402,278796.72005084803
2017-01-08,54353.22046189549,21256.5116073707,75793.92131173932,4035.1240937603575,18060.20607514487,172306.2668571627,279982.4098457663
2017-01-15,54053.858533708386,21256.5116073707,75000.20219327176,4043.067806884425,18152.25850405924,173006.96059016138,281168.09964068467
2017-01-22,53754.49660552128,21256.5116073707,74206.48307480419,4051.011520008493,18244.310932973607,173707.6543231601,282353.78943560296
2017-01-29,53455.134677334165,21256.5116073707,73412.76395633662,4058.9552331325604,18336.36336188798,174408.34805615878,283539.47923052125
2017-02-05,53155.77274914706,21256.5116073707,72619.04483786905,4066.8989462566283,18428.415790802348,175109.04178915746,284725.1690254396
2017-02-12,52856.41082095995,21256.5116073707,71825.32571940149,4074.842659380696,18520.468219716717,175809.73552215614,285910.8588203579
2017-02-19,52557.048892772844,21256.5116073707,71031.60660093391,4082.7863725047637,18612.520648631085,176510.42925515486,287096.5486152762
2017-02-26,52257.68696458574,21256.5116073707,70237.88748246635,4090.7300856288316,18704.573077545454,177211.12298815354,288282.23841019446
2017-03-05,51958.32503639863,21256.5116073707,69444.16836399878,4098.6737987528995,18796.625506459823,177911.81672115222,289467.9282051128
2017-03-12,51658.963108211516,21256.5116073707,68650.44924553121,4106.617511876967,18888.677935374195,178612.5104541509,290653.6180000311
2017-03-19,51359.60118002441,21256.5116073707,67856.73012706364,4114.5612250010345,18980.730364288564,179313.20418714962,291839.3077949494
2017-03-26,51060.2392518373,21256.5116073707,67063.01100859608,4122.504938125103,19072.782793202932,180013.8979201483,293024.99758986774
2017-04-02,50760.877323650195,21256.5116073707,66269.2918901285,4130.44865124917,19164.8352221173,180714.59165314698,294210.687384786
2017-04-09,50923.09068565238,21256.5116073707,65317.62406472904,4115.346178972659,19085.5669065399,193689.80226628005,292818.085537492
2017-04-16,51085.304047654565,21256.5116073707,64365.95623932958,4100.2437066961475,19006.298590962502,206665.01287941315,291425.48369019805
2017-04-23,51247.51740965675,21256.5116073707,63414.28841393012,4085.1412344196356,18927.030275385103,219640.2234925462,290032.881842904
2017-04-30,51409.730771658935,21256.5116073707,62462.620588530655,4070.038762143124,18847.7619598077,232615.4341056793,288640.27999561
2017-05-07,51571.94413366112,21256.5116073707,61510.952763131194,4054.9362898666127,18768.4936442303,245590.64471881237,287247.67814831604
2017-05-14,51734.157495663305,21256.5116073707,60559.28493773173,4039.8338175901013,18689.2253286529,258565.85533194547,285855.076301022
2017-05-21,51896.37085766549,21256.5116073707,59607.61711233227,4024.7313453135894,18609.957013075502,271541.0659450785,284462.474453728
2017-05-28,52058.584219667675,21256.5116073707,58655.9492869328,4009.628873037078,18530.688697498103,284516.2765582116,283069.872606434
2017-06-04,52220.79758166986,21256.5116073707,57704.28146153334,3994.5264007605665,18451.420381920703,297491.4871713447,281677.27075914
2017-06-11,52383.010943672045,21256.5116073707,56752.61363613388,3979.423928484055,18372.1520663433,310466.6977844778,280284.668911846
2017-06-18,52545.22430567423,21256.5116073707,55800.94581073442,3964.321456207543,18292.8837507659,323441.9083976109,278892.067064552
2017-06-25,52707.437667676415,21256.5116073707,54849.27798533496,3949.2189839310317,18213.6154351885,336417.1190107439,277499.465217258
2017-07-02,52869.6510296786,21256.5116073707,53897.610159935495,3934.1165116545203,18134.347119611102,349392.329623877,276106.863369964
2017-07-09,67589.02805973987,21256.5116073707,53393.85220218478,3945.757618776044,18133.68926438885,352093.6566829201,277358.6722238162
2017-07-16,82308.40508980112,21256.5116073707,52890.09424443407,3957.398725897568,18133.031409166593,354794.98374196317,278610.4810776685
2017-07-23,97027.78211986239,21256.5116073707,52386.33628668335,3969.039833019092,18132.37355394434,357496.3108010063,279862.2899315207
2017-07-30,111747.15914992365,21256.5116073707,51882.578328932635,3980.6809401406153,18131.715698722084,360197.6378600493,281114.0987853729
2017-08-06,126466.53617998492,21256.5116073707,51378.82037118192,3992.322047262139,18131.05784349983,362898.9649190924,282365.9076392252
2017-08-13,141185.9132100462,21256.5116073707,50875.06241343121,4003.963154383663,18130.39998827758,365600.2919781355,283617.7164930774
2017-08-20,155905.29024010745,21256.5116073707,50371.30445568049,4015.604261505187,18129.742133055322,368301.6190371786,284869.5253469296
2017-08-27,170624.66727016872,21256.5116073707,49867.546497929776,4027.245368626711,18129.08427783307,371002.9460962216,286121.3342007818
2017-09-03,185344.04430023,21256.5116073707,49363.78854017906,4038.8864757482347,18128.426422610817,373704.27315526473,287373.1430546341
2017-09-10,200063.42133029125,21256.5116073707,48860.03058242835,4050.527582869758,18127.76856738856,376405.6002143078,288624.9519084863
2017-09-17,214782.79836035252,21256.5116073707,48356.27262467763,4062.168689991282,18127.110712166308,379106.9272733509,289876.7607623385
2017-09-24,229502.17539041373,21256.5116073707,47852.514666926916,4073.809797112806,18126.45285694405,381808.254332394,291128.5696161908
