DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
12/31/2016,54758.5609745179,24247.2384289133,84314.8859929254,11649.0342947388,42735.2313671051,268100.727339558,331360.758661843
03/31/2017,77945.5650509451,23271.3036039791,84314.8859929254,19612.9209111409,48304.2441199529,268100.727339558,316009.013207806
06/30/2017,100595.499628237,22173.0209295634,84314.8859929254,23851.9740622588,48304.2441199529,268100.727339558,334502.829370908
09/30/2017,77945.5650509451,21797.7718389485,84314.8859929254,20659.1384137868,46543.1699249919,268100.727339558,309310.029653816
12/31/2017,77945.5650509451,21991.8816189715,84314.8859929254,19075.2894255019,41899.8806680878,268100.727339558,352128.622333753
03/31/2018,54758.5609745179,21924.7902742861,84314.8859929254,18026.4356141857,21160.4977887257,268100.727339558,352128.622333753
06/30/2018,54758.5609745179,12704.751642032,75452.7998155138,17102.6313764871,26189.6926289714,268100.727339558,362566.637553246
09/30/2018,107603.438606766,18003.4718873888,100078.45136977,14579.2171061608,26962.3193858887,268100.727339558,362566.637553246
12/31/2018,133530.687276163,18003.4718873888,92504.0539652182,11758.7353547419,25552.9329227073,268100.727339558,362566.637553246
03/31/2019,146607.347311498,18003.4718873888,102250.043660487,12469.9639133399,25552.9329227073,268100.727339558,362566.637553246
06/30/2019,144970.686692172,18003.4718873888,102496.602731157,11032.4197578902,26764.4042215278,268100.727339558,369274.829903149
09/30/2019,139775.329930367,18003.4718873888,97878.9339658218,11032.4197578902,26903.708365382,688546.222123105,358902.029343199
12/31/2019,120380.275436991,18003.4718873888,86472.1259795813,15179.6929126737,19320.3979715165,2334200.54122748,905954.193102499
03/31/2020,94534.5741741386,18003.4718873888,71478.1435125451,15179.6929126737,20128.1607988126,2497996.19695467,1071620.42409303
