DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
12/31/2016,54652.5823900826,21256.5116073707,76587.6404302069,4027.18038063629,17968.1536462305,171605.573124164,278796.720050848
03/31/2017,50760.8773236502,21256.5116073707,66269.2918901285,4130.44865124917,19164.8352221173,180714.591653147,294210.687384786
06/30/2017,52869.6510296786,21256.5116073707,53897.6101599355,3934.11651165452,18134.3471196111,349392.329623877,276106.863369964
09/30/2017,244221.552420475,21256.5116073707,47348.7567091762,4085.45090423433,18125.7950017218,384509.581391437,292380.378470043
12/31/2017,251360.895924565,21256.5116073707,75996.5538065786,4168.66618689693,18125.7950017218,393049.615188719,126421.209542633
03/31/2018,242821.411937329,21256.5116073707,75025.3925268607,4390.6466241065,16215.5617986071,380082.359495939,121628.989599976
06/30/2018,168643.608437043,21256.5116073707,70737.8207588719,4580.62690656452,15226.0741274083,336884.199149149,118776.915078459
09/30/2018,67861.9045948321,19268.3122546542,85696.2034498279,9636.24111659432,15226.0741274083,369374.975772957,118778.458578238
12/31/2018,67861.9045948321,22237.3559579371,92734.837035496,13719.1211713537,15081.2613678182,363538.99378196,126613.848636974
03/31/2019,90621.5639742708,19572.2106204544,85696.2034498279,13902.7232686878,15081.2613678182,447944.82208902,124513.497706518
06/30/2019,90621.5639742708,23052.7345759363,85696.2034498279,17675.1439678922,14941.5527974839,566013.50770904,124513.497706518
09/30/2019,90621.5639742708,22200.3860970286,85696.2034498279,17515.2994346575,13681.9020769937,532079.369601524,111690.917764656
12/31/2019,90621.5639742708,20489.9801296703,85696.2034498279,206985.506738999,9144.34511701345,532079.369601524,132813.875935557
03/31/2020,90621.5639742708,17884.0511549896,85696.2034498279,180258.148220822,10500.8503057065,517040.300873416,129096.962168076
