DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
2017-01-01,42223.3354793294,14517.346335299999,45536.2368557409,1380.27744393011,2996.81885306659,208970.93484456,34366.879431527
2017-01-08,42557.40049755534,14435.982415970668,45718.08745032126,1379.9217969263339,3550.523419927721,208889.84411113753,34432.756357488965
2017-01-15,42891.465515781274,14354.618496641338,45899.938044901624,1379.5661499225575,4104.227986788853,208808.75337771507,34498.63328345094
2017-01-22,43225.530534007215,14273.254577312007,46081.78863948199,1379.2105029187815,4657.932553649985,208727.6626442926,34564.5102094129
2017-01-29,43559.59555223315,14191.890657982676,46263.63923406234,1378.8548559150054,5211.637120511115,208646.57191087015,34630.38713537488
2017-02-05,43893.66057045909,14110.526738653347,46445.489828642705,1378.499208911229,5765.341687372247,208565.48117744768,34696.26406133684
2017-02-12,44227.72558868503,14029.162819324016,46627.34042322307,1378.143561907453,6319.046254233379,208484.39044402522,34762.140987298815
2017-02-19,44561.79060691097,13947.798899994685,46809.19101780343,1377.787914903677,6872.750821094511,208403.29971060276,34828.01791326078
2017-02-26,44895.85562513691,13866.434980665354,46991.04161238379,1377.4322678999008,7426.455387955642,208322.2089771803,34893.894839222754
2017-03-05,45229.92064336285,13785.071061336024,47172.892206964156,1377.0766208961245,7980.159954816774,208241.11824375784,34959.77176518472
2017-03-12,45563.985661588784,13703.707142006693,47354.74280154451,1376.7209738923484,8533.864521677906,208160.02751033538,35025.64869114669
2017-03-19,45898.050679814725,13622.343222677362,47536.593396124874,1376.3653268885723,9087.569088539036,208078.93677691292,35091.52561710866
2017-03-26,46232.11569804066,13540.979303348033,47718.44399070524,1376.009679884796,9641.273655400168,207997.84604349046,35157.40254307063
2017-04-02,46566.1807162666,13459.615384018702,47900.2945852856,1375.65403288102,10194.9782222613,207916.755310068,35223.2794690326
2017-04-09,46328.40986409577,13675.962250336863,47618.48374161295,1366.2068956363346,10505.653949697084,207524.48049009207,35688.205005323885
2017-04-16,46090.63901192494,13892.309116655024,47336.672897940305,1356.7597583916493,10816.329677132868,207132.20567011615,36153.130541615166
2017-04-23,45852.86815975411,14108.655982973185,47054.86205426766,1347.312621146964,11127.005404568654,206739.93085014023,36618.056077906454
2017-04-30,45615.09730758328,14325.002849291348,46773.05121059502,1337.8654839022784,11437.681132004438,206347.6560301643,37082.981614197735
2017-05-07,45377.32645541245,14541.349715609509,46491.24036692237,1328.418346657593,11748.356859440222,205955.38121018838,37547.90715048902
2017-05-14,45139.55560324161,14757.69658192767,46209.429523249724,1318.9712094129077,12059.032586876006,205563.10639021246,38012.832686780304
2017-05-21,44901.78475107079,14974.043448245831,45927.61867957708,1309.5240721682223,12369.708314311792,205170.83157023657,38477.75822307159
2017-05-28,44664.01389889995,15190.390314563992,45645.80783590443,1300.076934923537,12680.384041747577,204778.55675026064,38942.68375936287
2017-06-04,44426.24304672912,15406.737180882154,45363.99699223178,1290.6297976788517,12991.059769183361,204386.28193028472,39407.60929565416
2017-06-11,44188.47219455829,15623.084047200315,45082.18614855914,1281.182660434166,13301.735496619145,203994.0071103088,39872.53483194544
2017-06-18,43950.70134238746,15839.430913518478,44800.3753048865,1271.7355231894808,13612.41122405493,203601.73229033287,40337.46036823673
2017-06-25,43712.93049021663,16055.777779836639,44518.56446121385,1262.2883859447954,13923.086951490714,203209.45747035695,40802.38590452801
2017-07-02,43475.1596380458,16272.1246461548,44236.7536175412,1252.84124870011,14233.7626789265,202817.18265038103,41267.3114408193
2017-07-09,44183.501435686936,16457.568825658353,44799.41175069847,1237.9794577253201,14308.544003611269,201896.9372723111,41434.38607138283
2017-07-16,44891.84323332807,16643.01300516191,45362.069883855744,1223.1176667505301,14383.325328296038,200976.69189424117,41601.46070194636
2017-07-23,45600.185030969216,16828.45718466546,45924.72801701301,1208.2558757757402,14458.106652980807,200056.44651617124,41768.53533250989
2017-07-30,46308.52682861035,17013.901364169014,46487.38615017028,1193.39408480095,14532.887977665578,199136.2011381013,41935.609963073424
2017-08-06,47016.86862625149,17199.34554367257,47050.04428332755,1178.53229382616,14607.669302350347,198215.9557600314,42102.68459363695
2017-08-13,47725.210423892626,17384.789723176124,47612.70241648482,1163.67050285137,14682.450627035116,197295.71038196146,42269.75922420048
2017-08-20,48433.55222153377,17570.233902679676,48175.360549642086,1148.80871187658,14757.231951719885,196375.46500389156,42436.833854764016
2017-08-27,49141.894019174906,17755.67808218323,48738.01868279936,1133.94692090179,14832.013276404654,195455.21962582163,42603.90848532755
2017-09-03,49850.23581681604,17941.122261686785,49300.67681595663,1119.085129927,14906.794601089423,194534.9742477517,42770.983115891075
2017-09-10,50558.57761445718,18126.566441190338,49863.334949113894,1104.2233389522098,14981.575925774194,193614.72886968177,42938.05774645461
2017-09-17,51266.91941209832,18312.01062069389,50425.99308227116,1089.3615479774198,15056.357250458963,192694.48349161184,43105.13237701814
2017-09-24,51975.26120973946,18497.454800197447,50988.651215428436,1074.4997570026298,15131.138575143732,191774.2381135419,43272.20700758167
2017-10-01,52683.603007380596,18682.898979701,51551.3093485857,1059.6379660278399,15205.919899828501,190853.99273547198,43439.2816381452
2017-10-08,53065.6472053541,18702.624792111106,51101.498115930255,1059.6379660278399,14980.28081399311,190853.99273547198,44039.926298884006
2017-10-15,53447.6914033276,18722.350604521216,50651.68688327481,1059.6379660278399,14754.641728157716,190853.99273547198,44640.57095962281
2017-10-22,53829.7356013011,18742.076416931322,50201.87565061936,1059.6379660278399,14529.002642322324,190853.99273547198,45241.215620361625
2017-10-29,54211.7797992746,18761.802229341432,49752.06441796392,1059.6379660278399,14303.363556486931,190853.99273547198,45841.86028110043
2017-11-05,54593.8239972481,18781.52804175154,49302.25318530847,1059.6379660278399,14077.72447065154,190853.99273547198,46442.50494183924
2017-11-12,54975.8681952216,18801.253854161645,48852.441952653026,1059.6379660278399,13852.085384816148,190853.99273547198,47043.14960257804
2017-11-19,55357.9123931951,18820.979666571755,48402.63071999758,1059.6379660278399,13626.446298980754,190853.99273547198,47643.79426331686
2017-11-26,55739.9565911686,18840.70547898186,47952.81948734213,1059.6379660278399,13400.807213145363,190853.99273547198,48244.43892405566
2017-12-03,56122.000789142105,18860.431291391968,47503.00825468668,1059.6379660278399,13175.168127309971,190853.99273547198,48845.08358479447
2017-12-10,56504.0449871156,18880.157103802077,47053.197022031236,1059.6379660278399,12949.529041474578,190853.99273547198,49445.728245533275
2017-12-17,56886.089185089106,18899.882916212184,46603.385789375796,1059.6379660278399,12723.889955639186,190853.99273547198,50046.37290627209
2017-12-24,57268.13338306261,18919.608728622294,46153.57455672035,1059.6379660278399,12498.250869803793,190853.99273547198,50647.017567010895
2017-12-31,57650.17758103611,18939.3345410324,45703.7633240649,1059.6379660278399,12272.611783968401,190853.99273547198,51247.6622277497
2018-01-07,58135.73405967268,19281.639724259345,45869.83272479906,1059.6379660278399,12143.433936678048,190853.99273547198,51557.56969217414
2018-01-14,58621.290538309244,19623.944907486293,46035.902125533226,1059.6379660278399,12014.256089387693,190853.99273547198,51867.47715659858
2018-01-21,59106.847016945816,19966.250090713238,46201.971526267385,1059.6379660278399,11885.07824209734,190853.99273547198,52177.38462102302
2018-01-28,59592.40349558238,20308.555273940186,46368.04092700155,1059.6379660278399,11755.900394806986,190853.99273547198,52487.29208544746
2018-02-04,60077.95997421895,20650.86045716713,46534.11032773571,1059.6379660278399,11626.72254751663,190853.99273547198,52797.1995498719
2018-02-11,60563.51645285552,20993.165640394076,46700.17972846987,1059.6379660278399,11497.544700226277,190853.99273547198,53107.107014296336
2018-02-18,61049.07293149209,21335.470823621024,46866.249129204036,1059.6379660278399,11368.366852935924,190853.99273547198,53417.01447872077
2018-02-25,61534.629410128655,21677.77600684797,47032.318529938195,1059.6379660278399,11239.18900564557,190853.99273547198,53726.92194314521
2018-03-04,62020.18588876523,22020.081190074918,47198.387930672354,1059.6379660278399,11110.011158355215,190853.99273547198,54036.82940756965
2018-03-11,62505.74236740179,22362.386373301862,47364.45733140652,1059.6379660278399,10980.833311064862,190853.99273547198,54346.736871994086
2018-03-18,62991.298846038364,22704.691556528807,47530.52673214068,1059.6379660278399,10851.655463774507,190853.99273547198,54656.644336418525
2018-03-25,63476.855324674936,23046.996739755756,47696.596132874845,1059.6379660278399,10722.477616484153,190853.99273547198,54966.551800842964
2018-04-01,63962.4118033115,23389.3019229827,47862.665533609004,1059.6379660278399,10593.2997691938,190853.99273547198,55276.459265267404
2018-04-08,63960.59725286753,23408.2311071379,48428.29884077972,1077.495417025993,10588.52101305607,190853.99273547198,53631.06043488494
2018-04-15,63958.782702423545,23427.1602912931,48993.932147950436,1095.3528680241461,10583.742256918338,190853.99273547198,51985.661604502464
2018-04-22,63956.96815197957,23446.0894754483,49559.56545512115,1113.2103190222992,10578.963500780608,190853.99273547198,50340.26277412
2018-04-29,63955.153601535596,23465.0186596035,50125.19876229187,1131.0677700204521,10574.184744642876,190853.99273547198,48694.863943737524
2018-05-06,63953.339051091614,23483.9478437587,50690.83206946258,1148.9252210186053,10569.405988505147,190853.99273547198,47049.46511335506
2018-05-13,63951.52450064764,23502.8770279139,51256.46537663329,1166.7826720167584,10564.627232367415,190853.99273547198,45404.066282972584
2018-05-20,63949.709950203665,23521.8062120691,51822.09868380401,1184.6401230149115,10559.848476229685,190853.99273547198,43758.66745259012
2018-05-27,63947.89539975969,23540.7353962243,52387.731990974724,1202.4975740130646,10555.069720091953,190853.99273547198,42113.268622207645
2018-06-03,63946.08084931571,23559.6645803795,52953.365298145436,1220.3550250112178,10550.290963954223,190853.99273547198,40467.86979182518
