DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
2017-01-01,60929.3528788721,11579.6436161817,46025.0604638,242.875619745306,1800.73823595892,117577.948669288,29245.2366027764
2017-01-08,61289.742893257084,11699.472035528492,45946.912839972814,244.95109621756686,1853.068726917144,118584.81945044546,29114.53003111477
2017-01-15,61650.13290764207,11819.300454875285,45868.76521614563,247.0265726898277,1905.3992178753679,119591.69023160293,28983.82345945314
2017-01-22,62010.522922027056,11939.128874222077,45790.61759231845,249.10204916208855,1957.7297088335918,120598.56101276039,28853.116887791508
2017-01-29,62370.912936412045,12058.95729356887,45712.46996849126,251.1775256343494,2010.0601997918154,121605.43179391784,28722.410316129877
2017-02-05,62731.30295079703,12178.785712915662,45634.32234466408,253.25300210661024,2062.3906907500395,122612.3025750753,28591.703744468246
2017-02-12,63091.69296518201,12298.614132262453,45556.17472083689,255.32847857887106,2114.7211817082634,123619.17335623277,28460.997172806616
2017-02-19,63452.082979567,12418.442551609247,45478.02709700971,257.4039550511319,2167.0516726664873,124626.04413739023,28330.290601144985
2017-02-26,63812.47299395198,12538.270970956039,45399.879473182526,259.47943152339275,2219.3821636247108,125632.91491854769,28199.584029483354
2017-03-05,64172.863008336964,12658.099390302832,45321.73184935534,261.5549079956536,2271.7126545829346,126639.78569970516,28068.877457821724
2017-03-12,64533.253022721954,12777.927809649624,45243.58422552815,263.63038446791444,2324.0431455411585,127646.65648086261,27938.170886160093
2017-03-19,64893.64303710694,12897.756228996415,45165.436601700974,265.7058609401753,2376.3736364993824,128653.52726202007,27807.464314498462
2017-03-26,65254.033051491926,13017.584648343209,45087.28897787379,267.78133741243613,2428.7041274576063,129660.39804317754,27676.75774283683
2017-04-02,65614.42306587691,13137.41306769,45009.1413540466,269.856813884697,2481.03461841583,130667.268824335,27546.0511711752
2017-04-09,64939.724508116815,13085.194358162255,45134.13696403706,393.61147318886026,2617.7846563118596,130738.20090853654,27104.091341619795
2017-04-16,64265.02595035672,13032.975648634509,45259.13257402752,517.3661324930235,2754.5346942078886,130809.13299273807,26662.131512064385
2017-04-23,63590.32739259663,12980.756939106763,45384.12818401799,641.1207917971869,2891.284732103918,130880.06507693962,26220.17168250898
2017-04-30,62915.628834836534,12928.538229579015,45509.12379400845,764.8754511013502,3028.0347699999475,130950.99716114115,25778.21185295357
2017-05-07,62240.93027707644,12876.31952005127,45634.119403998906,888.6301104055135,3164.7848078959764,131021.92924534269,25336.252023398163
