DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
12/31/2016,42223.3354793294,14517.3463353,45536.2368557409,1380.27744393011,2996.81885306659,208970.93484456,34366.879431527
03/31/2017,46566.1807162666,13459.6153840187,47900.2945852856,1375.65403288102,10194.9782222613,207916.755310068,35223.2794690326
06/30/2017,43475.1596380458,16272.1246461548,44236.7536175412,1252.84124870011,14233.7626789265,202817.182650381,41267.3114408193
09/30/2017,52683.6030073806,18682.898979701,51551.3093485857,1059.63796602784,15205.9198998285,190853.992735472,43439.2816381452
12/31/2017,57650.1775810361,18939.3345410324,45703.7633240649,1059.63796602784,12272.6117839684,190853.992735472,51247.6622277497
03/31/2018,63962.4118033115,23389.3019229827,47862.665533609,1059.63796602784,10593.2997691938,190853.992735472,55276.4592652674
06/30/2018,63938.8226475398,23635.3813170003,55215.8985268283,1291.78482900383,10531.1759394033,190853.992735472,33886.2744702953
09/30/2018,58995.1106242834,24173.5688008914,56016.9055054875,1026.75476919302,10759.4698046043,519913.696793516,35941.5150056973
12/31/2018,73626.8361791406,22951.7402597795,48021.185005013,1871.00226543762,8929.20302527985,601670.820299606,34118.3324807627
03/31/2019,68632.9295584692,23898.0473400373,52795.0511193657,1863.33863771132,8929.20302527985,567241.070781156,29049.574927087
06/30/2019,56843.3418149957,25848.2798543456,46155.8942707058,1921.58797967628,8929.20302527985,533393.617723882,21163.0246210486
09/30/2019,71908.6245020565,22364.9172546988,46997.8950896436,1863.574278345,8534.96729148192,466087.079540171,16613.2560859627
12/31/2019,73168.9843976105,23303.7052541313,45103.6245156025,2088.93187146837,7903.88692805184,201799.980178394,12259.1001184543
03/31/2020,75519.5357359787,18175.6116029931,40486.9092600137,2345.77311672538,5979.40911239002,184465.35743938,15577.5250188946
