DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
12/31/2016,60929.3528788721,11579.6436161817,46025.0604638,242.875619745306,1800.73823595892,117577.948669288,29245.2366027764
03/31/2017,65614.4230658769,13137.41306769,45009.1413540466,269.856813884697,2481.03461841583,130667.268824335,27546.0511711752
06/30/2017,56843.3418149957,12458.5698438293,46634.0842839226,1878.66738483882,4258.78511106421,131589.385918955,21800.5733869549
09/30/2017,71798.4309376687,14183.6265908215,45420.9341658666,1815.80746501384,4780.70190685658,124663.40644311,33669.723458588
12/31/2017,71908.6245020565,15188.4169211748,43327.6800341636,1570.65456984589,5709.41334671404,119142.788023971,32857.1191338769
03/31/2018,73168.9843976105,14009.0537493573,40486.9092600137,1388.47794364909,6322.53782906833,131851.378574447,29884.9785752717
06/30/2018,75519.5357359787,17633.8681418133,42950.6693777879,4648.61986687088,6247.70802774906,134862.403984778,32696.9035231166
09/30/2018,88234.1266807302,18545.1674799962,42091.1065428316,4872.02900921851,5827.06783277642,170073.963514734,29806.4077749137
12/31/2018,97881.3340507555,18428.7468382355,52660.8277354033,4872.02900921851,6385.72453124067,170073.963514734,26330.9940944127
03/31/2019,94993.8108886203,18859.7246400895,50233.4478780252,4872.02900921851,5293.40953030801,160447.540548132,23225.6836487622
06/30/2019,89545.2150352788,16272.1246461548,51931.1632286983,7347.31243380871,4208.48878128745,243378.384319105,23225.6836487622
09/30/2019,106277.220042679,21100.9478460091,64640.3456497122,7347.31243380871,3991.65796797937,288699.320708896,23225.6836487622
12/31/2019,91906.6208947202,18939.3345410324,61774.6133710508,6655.32368358845,4153.6463231452,311255.505796908,22520.1457429945
03/31/2020,84802.931216186,24992.437745135,69857.0734735265,3448.06709138129,4977.56075915814,295904.503645649,27909.6469497046
