DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
2017-01-01,10404.207441463299,3871.4733306585,10068.9801549666,1162.95515581833,1119.48038541697,42373.2250365722,4729.74057897941
2017-01-08,10432.446499320407,3864.0480658113584,10023.515556861614,1091.5938372466924,1157.8476961186107,42356.62520905066,4784.058835902148
2017-01-15,10460.685557177514,3856.622800964217,9978.050958756627,1020.2325186750547,1196.2150068202516,42340.02538152912,4838.377092824886
2017-01-22,10488.924615034623,3849.1975361170753,9932.58636065164,948.8712001034172,1234.5823175218923,42323.42555400758,4892.695349747623
2017-01-29,10517.16367289173,3841.7722712699338,9887.121762546652,877.5098815317796,1272.949628223533,42306.825726486044,4947.013606670361
2017-02-05,10545.402730748838,3834.347006422792,9841.657164441665,806.1485629601419,1311.3169389251739,42290.225898964505,5001.331863593099
2017-02-12,10573.641788605946,3826.9217415756507,9796.192566336678,734.7872443885044,1349.6842496268146,42273.626071442966,5055.6501205158365
2017-02-19,10601.880846463053,3819.4964767285096,9750.727968231693,663.4259258168668,1388.0515603284553,42257.026243921435,5109.968377438574
2017-02-26,10630.119904320161,3812.071211881368,9705.263370126706,592.0646072452291,1426.418871030096,42240.426416399896,5164.286634361311
2017-03-05,10658.35896217727,3804.6459470342265,9659.798772021719,520.7032886735915,1464.7861817317369,42223.82658887836,5218.60489128405
2017-03-12,10686.598020034377,3797.220682187085,9614.334173916732,449.34197010195385,1503.1534924333776,42207.22676135682,5272.923148206787
2017-03-19,10714.837077891485,3789.7954173399435,9568.869575811745,377.9806515303163,1541.5208031350185,42190.62693383528,5327.2414051295245
2017-03-26,10743.076135748592,3782.370152492802,9523.404977706758,306.6193329586787,1579.8881138366592,42174.02710631374,5381.559662052263
2017-04-02,10771.3151936057,3774.9448876456604,9477.94037960177,235.25801438704102,1618.2554245382998,42157.4272787922,5435.877918975
2017-04-09,10813.367352596622,3786.327812295618,9521.100864646089,238.91187680725156,1618.4680862812213,41800.667771862834,5488.270351721328
2017-04-16,10855.419511587546,3797.7107369455757,9564.261349690405,242.5657392274621,1618.680748024143,41443.90826493347,5540.662784467656
2017-04-23,10897.471670578469,3809.0936615955334,9607.421834734723,246.21960164767262,1618.8934097670644,41087.14875800409,5593.055217213983
2017-04-30,10939.523829569393,3820.476586245491,9650.582319779041,249.87346406788316,1619.1060715099861,40730.389251074725,5645.4476499603115
2017-05-07,10981.575988560315,3831.8595108954487,9693.742804823358,253.5273264880937,1619.3187332529076,40373.62974414536,5697.840082706639
2017-05-14,11023.628147551239,3843.2424355454064,9736.903289867676,257.18118890830425,1619.5313949958293,40016.87023721599,5750.232515452966
2017-05-21,11065.68030654216,3854.625360195364,9780.063774911994,260.8350513285148,1619.7440567387507,39660.110730286615,5802.6249481992945
2017-05-28,11107.732465533085,3866.0082848453217,9823.224259956312,264.48891374872534,1619.9567184816724,39303.35122335725,5855.017380945622
2017-06-04,11149.784624524007,3877.3912094952793,9866.384745000629,268.1427761689358,1620.1693802245939,38946.59171642788,5907.409813691949
2017-06-11,11191.836783514931,3888.774134145237,9909.545230044947,271.79663858914637,1620.3820419675155,38589.83220949851,5959.8022464382775
2017-06-18,11233.888942505853,3900.1570587951946,9952.705715089265,275.4505010093569,1620.594703710437,38233.07270256914,6012.194679184605
2017-06-25,11275.941101496777,3911.5399834451523,9995.866200133582,279.10436342956746,1620.8073654533587,37876.31319563977,6064.587111930933
2017-07-02,11317.9932604877,3922.92290809511,10039.0266851779,282.758225849778,1621.0200271962801,37519.5536887104,6116.9795446772605
2017-07-09,11358.525353750492,3967.586493530306,10094.582687580269,298.0290321426774,1633.3553483305577,36841.18557402368,6178.215028222214
2017-07-16,11399.057447013283,4012.2500789655023,10150.138689982638,313.29983843557676,1645.6906694648355,36162.817459336955,6239.450511767167
2017-07-23,11439.589540276076,4056.9136644006985,10205.694692385006,328.57064472847617,1658.0259905991131,35484.44934465023,6300.68599531212
2017-07-30,11480.121633538869,4101.577249835895,10261.250694787377,343.8414510213755,1670.361311733391,34806.08122996351,6361.9214788570725
2017-08-06,11520.65372680166,4146.240835271091,10316.806697189746,359.1122573142749,1682.6966328676685,34127.71311527678,6423.156962402026
2017-08-13,11561.185820064453,4190.904420706287,10372.362699592115,374.38306360717434,1695.0319540019461,33449.34500059007,6484.392445946979
2017-08-20,11601.717913327246,4235.568006141483,10427.918701994484,389.6538699000737,1707.367275136224,32770.976885903336,6545.627929491932
2017-08-27,11642.250006590039,4280.231591576679,10483.474704396853,404.9246761929731,1719.7025962705015,32092.608771216615,6606.8634130368855
2017-09-03,11682.78209985283,4324.895177011876,10539.030706799222,420.1954824858725,1732.0379174047791,31414.240656529895,6668.098896581839
2017-09-10,11723.314193115622,4369.558762447072,10594.58670920159,435.46628877877185,1744.373238539057,30735.87254184317,6729.334380126791
2017-09-17,11763.846286378415,4414.222347882268,10650.142711603961,450.73709507167126,1756.7085596733345,30057.504427156447,6790.569863671744
2017-09-24,11804.378379641206,4458.885933317464,10705.69871400633,466.00790136457067,1769.0438808076124,29379.136312469724,6851.805347216698
2017-10-01,11844.910472904,4503.54951875266,10761.2547164087,481.27870765747,1781.37920194189,28700.768197783,6913.040830761651
2017-10-08,11906.0490640876,4540.152278776373,10845.230718369883,500.61562905944373,1790.4663761532906,29210.128708805692,6949.6275481163675
2017-10-15,11967.1876552712,4576.755038800086,10929.206720331069,519.9525504614174,1799.5535503646915,29719.489219828385,6986.214265471084
2017-10-22,12028.326246454799,4613.357798823799,11013.182722292253,539.2894718633911,1808.6407245760922,30228.849730851078,7022.800982825801
2017-10-29,12089.4648376384,4649.960558847512,11097.158724253437,558.6263932653649,1817.7278987874931,30738.210241873767,7059.387700180519
2017-11-05,12150.603428822,4686.563318871225,11181.134726214623,577.9633146673385,1826.8150729988938,31247.57075289646,7095.974417535235
2017-11-12,12211.7420200056,4723.166078894938,11265.110728175807,597.3002360693122,1835.9022472102947,31756.931263919152,7132.561134889952
2017-11-19,12272.880611189199,4759.768838918651,11349.08673013699,616.637157471286,1844.9894214216954,32266.291774941845,7169.147852244669
2017-11-26,12334.0192023728,4796.3715989423645,11433.062732098175,635.9740788732596,1854.0765956330963,32775.652285964534,7205.734569599385
2017-12-03,12395.1577935564,4832.9743589660775,11517.03873405936,655.3110002752333,1863.163769844497,33285.01279698723,7242.321286954102
2017-12-10,12456.29638474,4869.5771189897905,11601.014736020545,674.647921677207,1872.250944055898,33794.37330800992,7278.90800430882
2017-12-17,12517.4349759236,4906.1798790135035,11684.990737981729,693.9848430791807,1881.3381182672986,34303.73381903261,7315.494721663536
2017-12-24,12578.5735671072,4942.7826390372165,11768.966739942915,713.3217644811543,1890.4252924786992,34813.094330055304,7352.081439018253
2017-12-31,12639.7121582908,4979.38539906093,11852.942741904099,732.6586858831281,1899.5124666901002,35322.454841078,7388.66815637297
2018-01-07,12763.946447886816,5111.5630927821985,11940.025356860191,732.6586858831281,1882.9854461379764,35419.49145510023,7253.94828592323
2018-01-14,12888.180737482831,5243.740786503467,12027.107971816284,732.6586858831281,1866.4584255858524,35516.52806912246,7119.22841547349
2018-01-21,13012.415027078847,5375.9184802247355,12114.190586772376,732.6586858831281,1849.9314050337287,35613.564683144694,6984.50854502375
2018-01-28,13136.64931667486,5508.096173946004,12201.273201728469,732.6586858831281,1833.4043844816047,35710.60129716692,6849.78867457401
2018-02-04,13260.883606270876,5640.2738676672725,12288.355816684561,732.6586858831281,1816.877363929481,35807.63791118915,6715.06880412427
2018-02-11,13385.117895866892,5772.4515613885405,12375.438431640654,732.6586858831281,1800.350343377357,35904.67452521138,6580.34893367453
2018-02-18,13509.352185462907,5904.6292551098095,12462.521046596745,732.6586858831281,1783.8233228252332,36001.711139233616,6445.62906322479
2018-02-25,13633.586475058923,6036.8069488310775,12549.603661552837,732.6586858831281,1767.2963022731092,36098.74775325585,6310.90919277505
2018-03-04,13757.820764654938,6168.9846425523465,12636.68627650893,732.6586858831281,1750.7692817209854,36195.78436727808,6176.18932232531
2018-03-11,13882.055054250952,6301.1623362736145,12723.768891465023,732.6586858831281,1734.2422611688614,36292.820981300305,6041.46945187557
2018-03-18,14006.289343846967,6433.3400299948835,12810.851506421115,732.6586858831281,1717.7152406167377,36389.85759532254,5906.74958142583
2018-03-25,14130.523633442983,6565.5177237161515,12897.934121377208,732.6586858831281,1701.1882200646137,36486.89420934477,5772.02971097609
2018-04-01,14254.757923038998,6697.6954174374205,12985.0167363333,732.6586858831281,1684.66119951249,36583.930823367,5637.30984052635
2018-04-08,14418.292464321637,6780.301667471593,13028.179166512,732.6586858831281,1684.66119951249,36583.930823367,5820.445294985028
2018-04-15,14581.827005604277,6862.907917505765,13071.3415966907,732.6586858831281,1684.66119951249,36583.930823367,6003.580749443707
2018-04-22,14745.361546886914,6945.514167539937,13114.5040268694,732.6586858831281,1684.66119951249,36583.930823367,6186.716203902385
2018-04-29,14908.896088169553,7028.1204175741095,13157.6664570481,732.6586858831281,1684.66119951249,36583.930823367,6369.8516583610635
2018-05-06,15072.430629452192,7110.726667608282,13200.8288872268,732.6586858831281,1684.66119951249,36583.930823367,6552.987112819742
2018-05-13,15235.965170734831,7193.332917642454,13243.9913174055,732.6586858831281,1684.66119951249,36583.930823367,6736.12256727842
