DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
2017-01-01,16055.4342587827,3091.5474473227196,12309.989079721201,1561.52820446297,1425.94215442906,55610.3669035087,9442.69358514069
2017-01-08,16157.896053505516,3158.1028560342925,12349.002012339024,1574.2288576092094,1429.7817052053524,55745.14342684052,9371.48861969285
2017-01-15,16260.35784822833,3224.658264745866,12388.014944956847,1586.9295107554485,1433.6212559816447,55879.91995017235,9300.283654245008
2017-01-22,16362.819642951146,3291.2136734574387,12427.02787757467,1599.6301639016879,1437.460806757937,56014.69647350417,9229.078688797166
2017-01-29,16465.281437673963,3357.769082169012,12466.040810192493,1612.330817047927,1441.3003575342293,56149.472996836,9157.873723349325
2017-02-05,16567.743232396777,3424.324490880585,12505.053742810316,1625.0314701941663,1445.1399083105216,56284.24952016782,9086.668757901483
2017-02-12,16670.20502711959,3490.8798995921584,12544.06667542814,1637.7321233404055,1448.979459086814,56419.02604349964,9015.463792453642
2017-02-19,16772.666821842406,3557.4353083037313,12583.079608045962,1650.4327764866448,1452.8190098631062,56553.802566831466,8944.258827005799
2017-02-26,16875.128616565224,3623.9907170153047,12622.092540663785,1663.133429632884,1456.6585606393985,56688.579090163286,8873.053861557957
2017-03-05,16977.590411288038,3690.5461257268776,12661.105473281608,1675.8340827791233,1460.4981114156908,56823.35561349511,8801.848896110116
2017-03-12,17080.052206010852,3757.101534438451,12700.118405899431,1688.5347359253624,1464.337662191983,56958.132136826935,8730.643930662274
2017-03-19,17182.514000733667,3823.656943150024,12739.131338517254,1701.2353890716017,1468.1772129682754,57092.908660158755,8659.438965214433
2017-03-26,17284.975795456485,3890.212351861597,12778.144271135077,1713.936042217841,1472.0167637445677,57227.68518349058,8588.233999766591
2017-04-02,17387.4375901793,3956.76776057317,12817.1572037529,1726.6366953640802,1475.85631452086,57362.4617068224,8517.02903431875
2017-04-09,17435.41456225523,3938.4851875899662,12804.931697558763,1718.152623231348,1454.4073659289784,57560.981816374835,8536.182200892279
2017-04-16,17483.39153433116,3920.2026146067624,12792.706191364623,1709.6685510986156,1432.958417337097,57759.50192592727,8555.33536746581
2017-04-23,17531.368506407092,3901.9200416235585,12780.480685170485,1701.1844789658833,1411.5094687452154,57958.0220354797,8574.48853403934
2017-04-30,17579.34547848302,3883.6374686403547,12768.255178976346,1692.700406833151,1390.0605201533338,58156.54214503212,8593.64170061287
2017-05-07,17627.322450558953,3865.354895657151,12756.029672782208,1684.2163347004187,1368.6115715614524,58355.062254584554,8612.7948671864
2017-05-14,17675.299422634886,3847.072322673947,12743.804166588068,1675.7322625676863,1347.1626229695707,58553.582364136986,8631.94803375993
2017-05-21,17723.276394710814,3828.7897496907435,12731.57866039393,1667.2481904349538,1325.7136743776891,58752.10247368942,8651.10120033346
2017-05-28,17771.253366786746,3810.5071767075397,12719.35315419979,1658.7641183022215,1304.2647257858075,58950.62258324185,8670.254366906991
2017-06-04,17819.23033886268,3792.224603724336,12707.127648005653,1650.2800461694892,1282.8157771939261,59149.14269279428,8689.40753348052
2017-06-11,17867.207310938607,3773.942030741132,12694.902141811514,1641.795974036757,1261.3668286020445,59347.662802346706,8708.560700054051
2017-06-18,17915.18428301454,3755.659457757928,12682.676635617376,1633.3119019040246,1239.9178800101631,59546.18291189914,8727.71386662758
2017-06-25,17963.16125509047,3737.376884774724,12670.451129423236,1624.8278297712923,1218.4689314182815,59744.70302145157,8746.867033201112
2017-07-02,18011.1382271664,3719.0943117915203,12658.225623229098,1616.34375763856,1197.0199828263999,59943.223131004,8766.02019977464
2017-07-09,18094.262050319718,3671.864754150755,12730.59841176426,1581.0162469385484,1193.0469789018352,58297.823826753716,8680.53341017304
2017-07-16,18177.38587347303,3624.6351965099893,12802.971200299422,1545.6887362385369,1189.0739749772706,56652.42452250343,8595.04662057144
2017-07-23,18260.509696626348,3577.4056388692243,12875.343988834584,1510.3612255385253,1185.100971052706,55007.02521825315,8509.55983096984
2017-07-30,18343.63351977966,3530.1760812284588,12947.716777369746,1475.0337148385138,1181.1279671281413,53361.62591400286,8424.073041368241
2017-08-06,18426.75734293298,3482.9465235876933,13020.089565904907,1439.7062041385022,1177.1549632035767,51716.22660975258,8338.586251766641
2017-08-13,18509.881166086292,3435.7169659469278,13092.46235444007,1404.3786934384907,1173.181959279012,50070.82730550229,8253.09946216504
2017-08-20,18593.00498923961,3388.4874083061623,13164.835142975231,1369.0511827384794,1169.2089553544477,48425.428001252,8167.61267256344
2017-08-27,18676.128812392923,3341.2578506653967,13237.207931510393,1333.7236720384676,1165.235951429883,46780.02869700172,8082.12588296184
2017-09-03,18759.25263554624,3294.0282930246312,13309.580720045555,1298.3961613384563,1161.2629475053184,45134.629392751434,7996.639093360241
2017-09-10,18842.376458699553,3246.798735383866,13381.953508580717,1263.0686506384445,1157.2899435807537,43489.23008850115,7911.15230375864
