DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
12/31/2016,10404.2074414633,3871.4733306585,10068.9801549666,1162.95515581833,1119.48038541697,42373.2250365722,4729.74057897941
03/31/2017,10771.3151936057,3774.94488764566,9477.94037960177,235.258014387041,1618.2554245383,42157.4272787922,5435.877918975
06/30/2017,11317.9932604877,3922.92290809511,10039.0266851779,282.758225849778,1621.02002719628,37519.5536887104,6116.97954467726
09/30/2017,11844.910472904,4503.54951875266,10761.2547164087,481.27870765747,1781.37920194189,28700.768197783,6913.04083076165
12/31/2017,12639.7121582908,4979.38539906093,11852.9427419041,732.658685883128,1899.5124666901,35322.454841078,7388.66815637297
03/31/2018,14254.757923039,6697.69541743742,12985.0167363333,732.658685883128,1684.66119951249,36583.930823367,5637.30984052635
06/30/2018,16380.7069597133,7771.57666788166,13546.1283286564,732.658685883128,1684.66119951249,36583.930823367,8018.07074848917
09/30/2018,18117.5529421363,7842.18981808379,16355.6989578556,732.658685883128,1619.21235996601,36583.930823367,8511.05055522357
12/31/2018,20122.0412794031,7609.94436810899,14698.1518603908,826.305727655058,1490.39127972043,36583.930823367,9842.30138502024
03/31/2019,21083.49157187,6996.9374899377,14281.668635002,826.305727655058,1490.39127972043,36583.930823367,9563.68666866646
06/30/2019,22603.0968619346,5687.72728064972,16745.8076879624,826.305727655058,1490.39127972043,31839.0128266844,10880.0384313594
09/30/2019,20967.5446851795,4439.56716573222,15336.2076237176,875.878273506091,1240.95169124347,143366.914749747,10715.1466775879
12/31/2019,22654.1210879579,5360.22503358901,13492.9917999783,925.696419519439,1138.02853759515,157682.944769718,10593.7020367974
03/31/2020,24507.4187423057,6891.65356508233,17599.9846083537,1101.55618457607,911.263852857014,166778.583279432,6837.16191039007
