DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
12/31/2016,4479.7207719281,1283.8510297798,2201.86258906207,165.498381519924,2075.33666345166,23013.2040731899,4489.07260016184
03/31/2017,4112.63340860471,1425.1508023798,2030.76401878702,176.20388623356,2179.51932774178,21182.2791232943,4819.12477975588
06/30/2017,4326.96572793388,1326.62590269987,2118.42388345676,176.848603532594,2156.68748701954,28980.1761702228,4416.36447268062
09/30/2017,4664.61492630576,1156.18733034796,1831.45836698517,177.983457408578,3031.37141681231,35569.0496898539,4669.18200782773
12/31/2017,4882.23735121221,1262.824046108,2055.09100231055,191.96881980618,2731.99665080321,34426.8731526903,4820.99163266462
03/31/2018,4917.39335529652,1599.37252577079,2076.28651597716,212.162123543923,2731.99665080321,26417.3184237158,3341.38621267015
06/30/2018,4989.35920413206,1880.10347359621,1971.47404364397,216.027454530926,2378.66922879159,24751.6610534478,3211.04810684057
09/30/2018,5170.76122469963,1988.86636770082,2715.04300150108,241.576822379779,2378.66922879159,24020.2466503335,3211.04810684057
12/31/2018,5534.09054808869,1992.19266614643,3045.76948405489,220.712709194555,2378.66922879159,18740.5329733442,2793.45782339936
03/31/2019,5228.09499509888,1203.48301469803,2873.61949464434,226.192088966681,2210.18998429246,20110.4071406103,4028.43029810207
06/30/2019,4505.57996108318,1182.01790736576,2638.77560554674,318.621143889312,2210.18998429246,17745.8602395843,4220.04499712714
09/30/2019,4897.57175802458,1112.10212788985,2629.47675063744,309.183108277998,2210.18998429246,13972.753420241,3946.96041277335
12/31/2019,5525.50319460331,1056.01966259051,2553.062586665,325.344817078742,2120.94852994284,13972.753420241,5391.47548715298
03/31/2020,5900.29017294912,805.695196709029,2668.2504935685,338.121174390822,2126.96000365378,11306.6627660315,5773.8905097904
