DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
12/31/2016,4492.10997193969,812.480180954865,2489.41853987365,75.1450977395446,577.78815802641,8017.45283740411,6771.04399262034
03/31/2017,4791.9715577948,741.247109793878,2665.79347273672,137.278103781258,647.318595157258,14301.5166622035,6894.30706660006
06/30/2017,4505.57996108318,778.542512933266,2255.32871640646,153.046153169559,587.446864134809,20616.2665163077,6385.88751597354
09/30/2017,4897.57175802458,836.21794075735,2165.52175611109,208.429844312181,680.590563519297,25957.1952466253,5957.53538526349
12/31/2017,5525.50319460331,906.609618303267,2629.76300760933,221.863857869125,662.927419584049,27617.3676929159,8006.10626334675
03/31/2018,5900.29017294912,1046.04373713531,3379.41139211296,357.731416941071,846.355040479737,30257.851911896,7504.16790190625
06/30/2018,6427.81561985536,999.971106725442,3783.94354476909,343.536232233432,813.595041104041,27700.8164881672,6859.53406372683
09/30/2018,7144.43057687991,1305.88336276364,3279.53471220712,329.302148128288,867.829822027339,23570.352053556,6837.52559671366
12/31/2018,6674.82706392708,1599.76748310497,3304.11949224716,453.543676691305,935.343408010707,19845.2599913682,7222.97356653458
03/31/2019,5968.39263677137,1674.53603524479,3029.50407697051,494.281537279351,878.017438449957,16880.6196540521,5551.7862861125
06/30/2019,6724.26020891093,1519.99531249277,3352.73423598454,566.069253713713,893.032343572548,21426.0115042941,6371.90104697029
09/30/2019,6815.21576930202,1381.42188006209,2784.71116417074,524.454773573288,891.803939589119,20899.0829224633,6271.75281377886
12/31/2019,6854.67861078423,1156.18733034796,2886.27312525538,424.92464317918,941.858549771553,17171.6003039902,7228.71318201636
03/31/2020,6475.11829869871,1262.824046108,2681.16618750125,394.379779798973,961.629708582556,17067.0909794259,7349.04821123876
