DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
2018-07-01,6706.63177118634,2494.85813724948,8098.52477159825,320.88918128641603,1237.55794477134,55856.0159893274,3929.4981746734397
2018-07-08,6665.84272979113,2466.1837365028555,8075.022931660946,333.6711457811865,1226.6804273126031,54650.71688238714,4203.979050527862
2018-07-15,6625.05368839592,2437.509335756231,8051.521091723642,346.45311027595693,1215.8029098538661,53445.41777544688,4478.459926382283
2018-07-22,6584.26464700071,2408.8349350096064,8028.019251786338,359.2350747707274,1204.9253923951294,52240.11866850662,4752.940802236704
2018-07-29,6543.4756056055,2380.1605342629814,8004.517411849034,372.0170392654979,1194.0478749363924,51034.81956156636,5027.4216780911265
2018-08-05,6502.68656421029,2351.486133516357,7981.01557191173,384.7990037602683,1183.1703574776554,49829.520454626094,5301.902553945548
2018-08-12,6461.89752281508,2322.8117327697323,7957.513731974426,397.5809682550388,1172.2928400189185,48624.22134768583,5576.383429799969
2018-08-19,6421.108481419869,2294.137332023108,7934.011892037123,410.36293274980926,1161.4153225601817,47418.92224074557,5850.864305654391
2018-08-26,6380.319440024659,2265.4629312764832,7910.510052099819,423.14489724457974,1150.5378051014447,46213.62313380531,6125.345181508812
2018-09-02,6339.530398629449,2236.7885305298587,7887.0082121625155,435.92686173935016,1139.6602876427078,45008.32402686505,6399.826057363234
2018-09-09,6298.741357234239,2208.1141297832337,7863.506372225212,448.70882623412064,1128.7827701839708,43803.024919924785,6674.306933217656
2018-09-16,6257.952315839029,2179.439729036609,7840.004532287908,461.49079072889106,1117.905252725234,42597.72581298453,6948.787809072077
2018-09-23,6217.163274443819,2150.7653282899846,7816.502692350604,474.27275522366153,1107.027735266497,41392.426706044265,7223.268684926499
2018-09-30,6176.374233048609,2122.09092754336,7793.0008524133,487.054719718432,1096.15021780776,40187.127599104,7497.749560780921
2018-10-07,6285.107955120325,2101.370451492802,7681.231808679191,492.85402042324586,1196.4007320020137,39806.11686757889,7463.265120607724
2018-10-14,6393.841677192041,2080.6499754422443,7569.462764945083,498.65332112805976,1296.6512461962673,39425.10613605377,7428.780680434527
2018-10-21,6502.5753992637565,2059.9294993916865,7457.693721210974,504.4526218328736,1396.9017603905208,39044.095404528656,7394.296240261331
2018-10-28,6611.309121335472,2039.2090233411286,7345.924677476865,510.25192253768745,1497.1522745847744,38663.08467300355,7359.811800088135
2018-11-04,6720.042843407188,2018.4885472905708,7234.155633742757,516.0512232425014,1597.402788779028,38282.07394147843,7325.327359914939
2018-11-11,6828.776565478904,1997.768071240013,7122.386590008648,521.8505239473152,1697.6533029732814,37901.06320995332,7290.842919741742
2018-11-18,6937.51028755062,1977.047595189455,7010.61754627454,527.649824652129,1797.9038171675352,37520.0524784282,7256.358479568546
2018-11-25,7046.244009622335,1956.3271191388972,6898.848502540432,533.4491253569429,1898.1543313617885,37139.04174690309,7221.874039395349
2018-12-02,7154.977731694051,1935.6066430883393,6787.079458806323,539.2484260617567,1998.4048455560423,36758.03101537797,7187.389599222152
2018-12-09,7263.711453765767,1914.8861670377814,6675.310415072214,545.0477267665706,2098.6553597502957,36377.02028385286,7152.905159048956
2018-12-16,7372.445175837483,1894.1656909872236,6563.541371338106,550.8470274713845,2198.905873944549,35996.00955232774,7118.42071887576
2018-12-23,7481.178897909198,1873.4452149366657,6451.772327603997,556.6463281761984,2299.156388138803,35614.99882080263,7083.936278702564
2018-12-30,7589.912619980914,1852.7247388861078,6340.003283869889,562.4456288810122,2399.4069023330567,35233.98808927752,7049.451838529367
2019-01-06,7698.64634205263,1832.00426283555,6228.23424013578,568.2449295858261,2499.65741652731,34852.9773577524,7014.967398356171
2019-01-13,7675.758840692366,1876.4557644193142,6112.560158944564,562.1929459084859,2539.257040477243,34760.38740146524,6967.212107444486
2019-01-20,7652.871339332101,1920.9072660030783,5996.886077753348,556.1409622311455,2578.856664427177,34667.79744517807,6919.4568165328
2019-01-27,7629.983837971837,1965.3587675868425,5881.211996562132,550.0889785538053,2618.45628837711,34575.207488890905,6871.701525621115
2019-02-03,7607.096336611573,2009.8102691706065,5765.537915370916,544.0369948764651,2658.055912327043,34482.617532603734,6823.94623470943
2019-02-10,7584.208835251309,2054.261770754371,5649.8638341797005,537.9850111991248,2697.655536276977,34390.02757631657,6776.190943797746
