DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
2018-07-01,6564.98868321302,1557.7155377117401,5333.68459520355,186.328294505513,337.423784884914,11363.3540655117,2808.88830817065
2018-07-08,6687.475755521205,1597.1634426767193,5330.568641498818,188.24099866584646,335.2356334482813,11684.530781361784,2808.88830817065
2018-07-15,6809.96282782939,1636.6113476416986,5327.452687794085,190.15370282617994,333.04748201164864,12005.707497211868,2808.88830817065
2018-07-22,6932.449900137576,1676.0592526066778,5324.336734089353,192.06640698651339,330.8593305750159,12326.884213061954,2808.88830817065
2018-07-29,7054.936972445761,1715.507157571657,5321.22078038462,193.97911114684686,328.67117913838325,12648.060928912038,2808.88830817065
2018-08-05,7177.424044753947,1754.9550625366362,5318.104826679888,195.8918153071803,326.48302770175053,12969.237644762123,2808.88830817065
2018-08-12,7299.911117062132,1794.4029675016154,5314.988872975156,197.80451946751376,324.29487626511786,13290.414360612207,2808.88830817065
2018-08-19,7422.398189370318,1833.8508724665949,5311.872919270424,199.71722362784723,322.10672482848514,13611.591076462293,2808.88830817065
2018-08-26,7544.8852616785025,1873.2987774315739,5308.756965565692,201.62992778818068,319.9185733918525,13932.767792312377,2808.88830817065
2018-09-02,7667.372333986688,1912.7466823965533,5305.641011860959,203.54263194851416,317.73042195521975,14253.944508162462,2808.88830817065
2018-09-09,7789.859406294873,1952.1945873615323,5302.525058156227,205.4553361088476,315.5422705185871,14575.121224012546,2808.88830817065
2018-09-16,7912.346478603059,1991.6424923265117,5299.409104451494,207.36804026918105,313.35411908195437,14896.29793986263,2808.88830817065
2018-09-23,8034.833550911244,2031.090397291491,5296.293150746762,209.28074442951453,311.16596764532164,15217.474655712715,2808.88830817065
2018-09-30,8157.32062321943,2070.53830225647,5293.17719704203,211.19344858984797,308.977816208689,15538.6513715628,2808.88830817065
2018-10-07,8142.725592017088,2081.326701532367,5234.67043047671,211.19344858984797,308.6215615537721,15554.070739810115,2828.953512803823
2018-10-14,8128.130560814747,2092.1151008082643,5176.163663911391,211.19344858984797,308.2653068988553,15569.49010805743,2849.0187174369958
2018-10-21,8113.535529612405,2102.9035000841614,5117.656897346072,211.19344858984797,307.9090522439384,15584.909476304743,2869.0839220701687
2018-10-28,8098.940498410065,2113.691899360059,5059.150130780753,211.19344858984797,307.55279758902157,15600.328844552057,2889.1491267033416
2018-11-04,8084.345467207723,2124.480298635956,5000.643364215433,211.19344858984797,307.1965429341047,15615.748212799372,2909.2143313365145
2018-11-11,8069.750436005382,2135.268697911853,4942.136597650115,211.19344858984797,306.84028827918786,15631.167581046686,2929.2795359696875
2018-11-18,8055.15540480304,2146.05709718775,4883.629831084795,211.19344858984797,306.484033624271,15646.586949294,2949.34474060286
2018-11-25,8040.560373600699,2156.845496463647,4825.1230645194755,211.19344858984797,306.1277789693541,15662.006317541314,2969.409945236033
2018-12-02,8025.965342398357,2167.633895739544,4766.616297954157,211.19344858984797,305.7715243144373,15677.425685788628,2989.475149869206
2018-12-09,8011.370311196016,2178.4222950154413,4708.109531388837,211.19344858984797,305.4152696595204,15692.845054035943,3009.5403545023787
2018-12-16,7996.775279993675,2189.2106942913388,4649.602764823519,211.19344858984797,305.05901500460357,15708.264422283257,3029.6055591355516
2018-12-23,7982.180248791334,2199.999093567236,4591.095998258199,211.19344858984797,304.7027603496867,15723.683790530571,3049.6707637687246
2018-12-30,7967.585217588992,2210.787492843133,4532.58923169288,211.19344858984797,304.34650569476986,15739.103158777885,3069.7359684018975
2019-01-06,7952.990186386651,2221.57589211903,4474.082465127561,211.19344858984797,303.990251039853,15754.5225270252,3089.8011730350704
2019-01-13,8042.279408069306,2206.4976053560517,4564.33023144723,211.19344858984797,309.41742720300414,15754.5225270252,3092.4560331624602
2019-01-20,8131.5686297519605,2191.419318593073,4654.577997766901,211.19344858984797,314.8446033661553,15754.5225270252,3095.1108932898505
2019-01-27,8220.857851434615,2176.341031830095,4744.82576408657,211.19344858984797,320.2717795293065,15754.5225270252,3097.7657534172404
2019-02-03,8310.14707311727,2161.2627450671166,4835.07353040624,211.19344858984797,325.6989556924577,15754.5225270252,3100.42061354463
2019-02-10,8399.436294799925,2146.1844583041384,4925.3212967259105,211.19344858984797,331.12613185560883,15754.5225270252,3103.07547367202
2019-02-17,8488.72551648258,2131.1061715411597,5015.56906304558,211.19344858984797,336.55330801876,15754.5225270252,3105.73033379941
2019-02-24,8578.014738165235,2116.0278847781815,5105.81682936525,211.19344858984797,341.98048418191115,15754.5225270252,3108.3851939268
2019-03-03,8667.30395984789,2100.9495980152033,5196.06459568492,211.19344858984797,347.4076603450623,15754.5225270252,3111.04005405419
2019-03-10,8756.593181530545,2085.8713112522246,5286.31236200459,211.19344858984797,352.83483650821347,15754.5225270252,3113.69491418158
2019-03-17,8845.8824032132,2070.7930244892464,5376.5601283242595,211.19344858984797,358.2620126713647,15754.5225270252,3116.34977430897
2019-03-24,8935.171624895855,2055.714737726268,5466.80789464393,211.19344858984797,363.68918883451585,15754.5225270252,3119.00463443636
